,name,github_id,category,github_url,homepage,license,created_at,updated_at,last_commit_pushed_at,fork_count,open_issue_count,closed_issue_count,star_count,commit_count,latest_stable_release_published_at,latest_stable_release_number,release_count,description,dependent_project_count,github_dependent_project_count,contributor_count,projectrank,show,projectrank_placing,github_release_downloads,monthly_downloads
0,tokenizers,huggingface/tokenizers,nlp,https://github.com/huggingface/tokenizers,https://github.com/huggingface/tokenizers,Apache-2.0,2019-11-01 17:52:20,2021-02-22 04:14:13,2021-02-10 02:05:52,312.0,70.0,307.0,4273.0,1441.0,2021-02-04 15:38:39,python-v0.10.1,39.0,Fast State-of-the-Art Tokenizers optimized for Research and Production.,25.0,25.0,40.0,21,True,1.0,,
1,tvm,apache/tvm,ml-frameworks,https://github.com/apache/tvm,https://github.com/apache/tvm,Apache-2.0,2016-10-12 22:20:28,2021-02-22 11:14:27,2021-02-21 21:35:40,1748.0,114.0,1606.0,6316.0,,2020-10-02 18:30:42,0.7.0,9.0,"Open deep learning compiler stack for cpu, gpu and specialized accelerators.",,,495.0,19,True,1.0,453.0,11.0
2,rust,tensorflow/rust,ml-frameworks,https://github.com/tensorflow/rust,https://github.com/tensorflow/rust,Apache-2.0,2016-02-05 00:32:17,2021-02-18 04:15:09,2021-02-18 04:15:09,234.0,27.0,101.0,2939.0,629.0,,,,Rust language bindings for TensorFlow.,,,37.0,16,True,1.0,,
3,tract,sonos/tract,ml-frameworks,https://github.com/sonos/tract,https://github.com/sonos/tract,,2017-08-07 09:31:26,2021-02-21 10:48:27,2021-02-18 10:38:11,93.0,20.0,45.0,869.0,,2021-01-12 13:07:06,0.12.5,13.0,"Tiny, no-nonsense, self-contained, Tensorflow and ONNX inference.",,,21.0,15,False,1.0,1441.0,240.0
4,whatlang-rs,greyblake/whatlang-rs,nlp,https://github.com/greyblake/whatlang-rs,https://github.com/greyblake/whatlang-rs,MIT,2016-11-05 21:26:51,2021-02-11 21:48:32,2021-02-05 07:23:01,27.0,1.0,23.0,389.0,365.0,2019-03-03 16:17:34,0.7.0,3.0,Natural language detection library for Rust. Try demo online: https://www.greyblake.com/whatlang/.,,,14.0,15,True,1.0,,
5,xaynet,xaynetwork/xaynet/,ml-frameworks,https://github.com/xaynetwork/xaynet,https://github.com/xaynetwork/xaynet,Apache-2.0,2019-08-29 08:59:32,2021-02-22 08:58:15,2021-02-22 08:48:53,18.0,3.0,27.0,107.0,2443.0,2021-01-18 12:57:57,0.11.0,11.0,Xaynet represents an agnostic Federated Machine Learning framework to build privacy-preserving AI applications.,,,,15,True,1.0,,
6,linfa,rust-ml/linfa/,ml-frameworks,https://github.com/rust-ml/linfa,https://github.com/rust-ml/linfa,,2018-04-05 07:03:30,2021-02-21 20:10:14,2021-02-16 06:25:17,46.0,12.0,19.0,721.0,174.0,2021-01-21 07:50:34,0.3.0,3.0,A Rust machine learning framework.,,,,14,False,2.0,,
7,opencv-rust,twistedfall/opencv-rust,image,https://github.com/twistedfall/opencv-rust,https://github.com/twistedfall/opencv-rust,MIT,2015-04-14 06:32:54,2021-02-04 08:40:26,2021-02-04 08:40:14,58.0,9.0,159.0,594.0,853.0,,,,Rust bindings for OpenCV 3 & 4.,,,25.0,14,True,1.0,,
8,snips-nlu-rs,snipsco/snips-nlu-rs,nlp,https://github.com/snipsco/snips-nlu-rs,https://github.com/snipsco/snips-nlu-rs,,2018-02-21 09:29:02,2020-01-28 16:20:20,2020-01-28 16:19:54,55.0,4.0,15.0,312.0,1583.0,2020-01-28 16:20:20,0.65.6,33.0,Snips NLU rust implementation.,,,21.0,14,False,2.0,,
9,texture-synthesis,EmbarkStudios/texture-synthesis,image,https://github.com/EmbarkStudios/texture-synthesis,https://github.com/EmbarkStudios/texture-synthesis,,2019-08-26 08:06:48,2020-12-10 16:17:19,2020-12-10 16:17:17,42.0,10.0,33.0,1315.0,,2020-02-26 20:39:27,0.8.0,12.0,Example-based texture synthesis written in Rust.,,,17.0,13,False,2.0,1815.0,100.0
10,rusty-machine,AtheMathmo/rusty-machine,ml-frameworks,https://github.com/AtheMathmo/rusty-machine,https://github.com/AtheMathmo/rusty-machine,MIT,2015-11-14 05:55:27,2020-07-10 17:17:37,2020-02-14 18:25:14,138.0,33.0,65.0,1143.0,532.0,,,,Machine Learning library for Rust.,,,20.0,13,True,2.0,,
11,juice,spearow/juice,ml-frameworks,https://github.com/spearow/juice,https://github.com/spearow/juice,,2017-01-14 21:27:49,2021-02-14 12:06:52,2020-10-19 17:07:39,55.0,26.0,38.0,734.0,1300.0,,,,The Hacker's Machine Learning Engine.,,,42.0,13,False,2.0,,
12,rustlearn,maciejkula/rustlearn,ml-frameworks,https://github.com/maciejkula/rustlearn,https://github.com/maciejkula/rustlearn,Apache-2.0,2015-12-03 21:48:17,2020-06-21 02:01:59,2020-06-21 02:01:58,42.0,7.0,4.0,474.0,76.0,2018-07-29 21:02:49,0.5.0,4.0,Machine learning crate for Rust.,,,9.0,13,True,2.0,,
13,rust-bert,guillaume-be/rust-bert,nlp,https://github.com/guillaume-be/rust-bert,https://github.com/guillaume-be/rust-bert,Apache-2.0,2020-01-25 09:40:07,2021-02-21 08:30:37,2021-02-21 08:20:50,34.0,6.0,30.0,466.0,689.0,,,,"Rust native ready-to-use NLP pipelines and transformer-based models (BERT, DistilBERT, GPT2,...).",,,8.0,13,True,2.0,,
14,rustface,atomashpolskiy/rustface,image,https://github.com/atomashpolskiy/rustface,https://github.com/atomashpolskiy/rustface,,2017-12-21 20:24:40,2020-11-25 09:43:07,2020-11-25 09:43:06,21.0,6.0,12.0,269.0,167.0,2020-11-02 08:22:28,0.1.6,3.0,Face detection library for the Rust programming language.,,,6.0,13,False,2.0,,
15,lingua-rs,pemistahl/lingua-rs,nlp,https://github.com/pemistahl/lingua-rs,https://github.com/pemistahl/lingua-rs,Apache-2.0,2020-06-17 10:47:30,2021-01-31 19:20:27,2021-01-31 19:17:17,4.0,2.0,6.0,255.0,84.0,2021-01-31 19:22:29,1.1.0,5.0,"The most accurate natural language detection library in the Rust ecosystem, suitable for long and short text alike.",,,2.0,13,True,2.0,,
16,leaf,autumnai/leaf,ml-frameworks,https://github.com/autumnai/leaf,https://github.com/autumnai/leaf,,2015-10-26 08:20:56,2018-01-14 18:40:05,2018-01-14 18:40:04,263.0,26.0,24.0,5469.0,164.0,,,,Open Machine Intelligence Framework for Hackers. (GPU/CPU).,,,15.0,12,False,2.0,,
17,tch-rs,LaurentMazare/tch-rs,ml-frameworks,https://github.com/LaurentMazare/tch-rs,https://github.com/LaurentMazare/tch-rs,,2019-02-16 21:08:44,2021-02-05 14:16:03,2021-02-05 14:16:03,86.0,26.0,181.0,940.0,540.0,,,,Rust bindings for the C++ api of PyTorch.,,,29.0,12,False,2.0,,
18,rust-autograd,raskr/rust-autograd,ml-frameworks,https://github.com/raskr/rust-autograd,https://github.com/raskr/rust-autograd,MIT,2017-09-05 14:42:39,2021-02-06 10:34:39,2020-12-31 14:24:43,19.0,,21.0,272.0,343.0,,,,Tensors and differentiable operations (like TensorFlow) in Rust.,,,10.0,12,True,2.0,,
19,rs-natural,christophertrml/rs-natural,nlp,https://github.com/christophertrml/rs-natural,https://github.com/christophertrml/rs-natural,MIT,2014-07-27 22:26:18,2020-10-17 18:22:37,2020-02-13 07:12:11,27.0,2.0,7.0,188.0,97.0,,,,Natural Language Processing for Rust.,,,14.0,11,True,3.0,,
20,Peroxide,Axect/Peroxide,ml-frameworks,https://github.com/Axect/Peroxide,https://github.com/Axect/Peroxide,,2018-04-20 18:38:06,2021-01-25 15:59:03,2021-01-25 15:57:51,9.0,6.0,13.0,186.0,1129.0,,,,"Rust numeric library with R, MATLAB & Python syntax.",,,8.0,11,False,2.0,,
21,orkhon,vertexclique/orkhon,ml-frameworks,https://github.com/vertexclique/orkhon,https://github.com/vertexclique/orkhon,MIT,2019-05-18 23:24:53,2021-02-01 15:23:47,2021-02-01 15:23:39,2.0,4.0,3.0,96.0,102.0,2020-11-17 23:04:49,0.2.0,1.0,Orkhon: ML Inference Framework and Server Runtime.,,,,11,False,2.0,,
22,rsrl,tspooner/rsrl,ml-frameworks,https://github.com/tspooner/rsrl,https://github.com/tspooner/rsrl,MIT,2017-03-29 15:18:20,2020-06-18 11:34:02,2020-06-18 11:31:52,10.0,19.0,15.0,91.0,545.0,,,7.0,"A fast, safe and easy to use reinforcement learning framework in Rust.",,,4.0,11,False,2.0,,
23,cv,rust-cv/cv,image,https://github.com/rust-cv/cv,https://github.com/rust-cv/cv,MIT,2020-04-04 17:46:04,2020-12-21 04:23:15,2020-12-21 04:23:11,6.0,24.0,2.0,65.0,560.0,,,,Rust CV mono-repo.,,,4.0,11,False,3.0,,
24,RustNN,jackm321/RustNN,ml-frameworks,https://github.com/jackm321/RustNN,https://github.com/jackm321/RustNN,Apache-2.0,2015-03-27 08:34:35,2017-12-21 15:19:41,2015-05-08 02:34:16,29.0,1.0,2.0,302.0,41.0,,,,A neural network crate.,,,2.0,10,False,3.0,,
25,deeplearn-rs,tedsta/deeplearn-rs,ml-frameworks,https://github.com/tedsta/deeplearn-rs,https://github.com/tedsta/deeplearn-rs,MIT,2015-10-27 02:51:50,2019-10-30 04:18:48,2017-08-20 03:30:59,22.0,1.0,4.0,192.0,78.0,,,,Neural networks in Rust.,,,2.0,10,False,3.0,,
26,alumina,millardjn/alumina,ml-frameworks,https://github.com/millardjn/alumina,https://github.com/millardjn/alumina,MIT,2017-02-06 15:57:08,2020-10-25 09:17:59,2020-10-25 09:17:58,5.0,3.0,,76.0,245.0,,,,A deep learning library for rust.,,,3.0,10,False,3.0,,
27,torchrs,torchrs/torchrs,ml-frameworks,https://github.com/torchrs/torchrs,https://github.com/torchrs/torchrs,BSD-2-Clause,2017-05-27 21:57:45,2017-07-16 00:27:45,2017-07-16 00:27:34,11.0,1.0,,76.0,532.0,,,,Deep Learning in Rust with the PyTorch API.,,,,10,False,3.0,,
28,rust-tokenizers,guillaume-be/rust-tokenizers,nlp,https://github.com/guillaume-be/rust-tokenizers,https://github.com/guillaume-be/rust-tokenizers,Apache-2.0,2019-11-09 16:14:11,2021-02-18 16:42:24,2021-02-18 16:42:24,9.0,,4.0,74.0,329.0,,,,"Rust-tokenizer offers high-performance tokenizers for modern language models, including WordPiece, Byte-Pair Encoding..",,,2.0,10,False,3.0,,
29,NeuroFlow,MikhailKravets/NeuroFlow,ml-frameworks,https://github.com/MikhailKravets/NeuroFlow,https://github.com/MikhailKravets/NeuroFlow,MIT,2017-06-22 18:45:50,2021-01-29 17:43:28,2018-01-07 20:12:50,4.0,,1.0,52.0,194.0,,,,Awesome deep learning crate.,,,2.0,10,False,3.0,,
30,vtext,rth/vtext,nlp,https://github.com/rth/vtext,https://github.com/rth/vtext,Apache-2.0,2018-11-05 09:02:15,2020-07-22 19:19:12,2020-06-18 21:00:31,8.0,11.0,7.0,105.0,143.0,,,,Simple NLP in Rust with Python bindings.,,,3.0,9,False,3.0,,
31,smartcore,smartcorelib/smartcore,ml-frameworks,https://github.com/smartcorelib/smartcore,https://github.com/smartcorelib/smartcore,Apache-2.0,2019-05-08 05:14:51,2021-02-21 15:27:22,2021-02-17 02:20:02,13.0,20.0,13.0,89.0,,,,,SmartCore is a comprehensive library for machine learning and numerical computing. The library provides a set of tools..,,,11.0,9,False,3.0,,
32,kodama,diffeo/kodama,ml-frameworks,https://github.com/diffeo/kodama,https://github.com/diffeo/kodama,MIT,2017-08-07 00:12:06,2020-12-21 14:04:54,2020-12-21 14:04:53,4.0,,,49.0,38.0,,,,Fast hierarchical agglomerative clustering in Rust.,,,2.0,9,False,3.0,,
33,rustml,daniel-e/rustml,ml-frameworks,https://github.com/daniel-e/rustml,https://github.com/daniel-e/rustml,,2015-06-23 13:59:00,2018-01-31 13:53:22,2018-01-31 13:53:17,6.0,2.0,3.0,46.0,332.0,2015-10-07 20:05:27,0.0.5,4.0,Machine learning in Rust.,,,2.0,9,False,3.0,,
34,visual-odometry-rs,mpizenberg/visual-odometry-rs,image,https://github.com/mpizenberg/visual-odometry-rs,https://github.com/mpizenberg/visual-odometry-rs,MPL-2.0,2018-03-26 08:10:34,2020-01-17 19:04:01,2019-03-25 14:16:01,1.0,6.0,1.0,26.0,299.0,,,,Visual Odometry in Rust (vors).,,,,9,False,3.0,,
