,name,github_id,category,github_url,homepage,license,created_at,updated_at,last_commit_pushed_at,fork_count,open_issue_count,closed_issue_count,star_count,commit_count,latest_stable_release_published_at,latest_stable_release_number,github_release_downloads,monthly_downloads,release_count,description,contributor_count,projectrank,show,projectrank_placing,new_addition,dependent_project_count,github_dependent_project_count
0,vector,timberio/vector,data-loading,https://github.com/timberio/vector,https://github.com/timberio/vector,MPL-2.0,2018-08-27 16:57:34,2021-03-25 16:06:56,2021-03-25 15:13:27,448.0,1149.0,2117.0,6756.0,4204.0,2021-03-12 22:36:27,0.12.1,32007.0,1600.0,18.0,"High-performance, high-reliability observability data pipeline.",122.0,23,True,1.0,True,,
1,tokenizers,huggingface/tokenizers,nlp,https://github.com/huggingface/tokenizers,https://github.com/huggingface/tokenizers,Apache-2.0,2019-11-01 17:52:20,2021-03-18 22:14:09,2021-03-18 18:39:52,325.0,85.0,318.0,4367.0,1446.0,2021-02-04 15:38:39,python-v0.10.1,,,39.0,Fast State-of-the-Art Tokenizers optimized for Research and Production.,40.0,21,True,1.0,,25.0,25.0
2,tvm,apache/tvm,ml-frameworks,https://github.com/apache/tvm,https://github.com/apache/tvm,Apache-2.0,2016-10-12 22:20:28,2021-03-25 16:08:28,2021-03-25 08:21:50,1799.0,131.0,1637.0,6452.0,,2020-10-02 18:30:42,0.7.0,503.0,12.0,9.0,"Open deep learning compiler stack for cpu, gpu and specialized accelerators.",519.0,19,True,1.0,,,
3,weld,weld-project/weld,ml-frameworks,https://github.com/weld-project/weld,https://github.com/weld-project/weld,BSD-3-Clause,2016-06-13 05:00:24,2021-03-01 08:58:21,2020-04-04 20:50:54,229.0,68.0,95.0,2558.0,615.0,,,,,3.0,High-performance runtime for data analytics applications.,36.0,17,True,1.0,True,2.0,2.0
4,rust,tensorflow/rust,ml-frameworks,https://github.com/tensorflow/rust,https://github.com/tensorflow/rust,Apache-2.0,2016-02-05 00:32:17,2021-03-01 07:35:57,2021-02-18 04:15:09,236.0,28.0,101.0,2983.0,629.0,,,,,,Rust language bindings for TensorFlow.,37.0,16,True,1.0,,,
5,ballista,ballista-compute/ballista,ml-frameworks,https://github.com/ballista-compute/ballista,https://github.com/ballista-compute/ballista,Apache-2.0,2019-07-04 17:09:41,2021-03-19 08:36:09,2021-03-11 06:25:13,134.0,64.0,184.0,2219.0,,2021-02-23 02:39:20,0.4.1,,,17.0,"Distributed compute platform implemented in Rust, and powered by Apache Arrow.",37.0,16,True,1.0,,,
6,polars,ritchie46/polars,data-loading,https://github.com/ritchie46/polars,https://github.com/ritchie46/polars,MIT,2020-05-13 19:45:33,2021-03-25 16:16:53,2021-03-24 12:06:13,56.0,33.0,207.0,1285.0,1288.0,,,,,,Rust DataFrame library.,21.0,16,True,2.0,,,
7,rayon,rayon-rs/rayon,data-loading,https://github.com/rayon-rs/rayon,https://github.com/rayon-rs/rayon,,2014-10-02 15:38:05,2021-03-24 20:35:02,2021-03-24 20:27:08,265.0,114.0,258.0,4933.0,1734.0,,,,,,Rayon: A data parallelism library for Rust.,114.0,15,False,3.0,True,,
8,tract,sonos/tract,ml-frameworks,https://github.com/sonos/tract,https://github.com/sonos/tract,,2017-08-07 09:31:26,2021-03-25 13:19:49,2021-03-25 13:19:49,95.0,21.0,45.0,903.0,,2021-03-22 10:07:08,0.13.0,1772.0,253.0,14.0,"Tiny, no-nonsense, self-contained, Tensorflow and ONNX inference.",22.0,15,False,2.0,,,
9,Enzyme,wsmoses/Enzyme,ml-frameworks,https://github.com/wsmoses/Enzyme,https://github.com/wsmoses/Enzyme,,2019-02-27 03:27:23,2021-03-23 23:36:20,2021-03-23 23:31:24,26.0,11.0,25.0,436.0,,2021-03-23 23:36:21,0.0.9,,,3.0,High-performance automatic differentiation of LLVM.,1256.0,15,False,2.0,True,,
10,whatlang-rs,greyblake/whatlang-rs,nlp,https://github.com/greyblake/whatlang-rs,https://github.com/greyblake/whatlang-rs,MIT,2016-11-05 21:26:51,2021-03-11 22:20:32,2021-03-11 22:20:26,27.0,4.0,29.0,402.0,463.0,2019-03-03 16:17:34,0.7.0,,,3.0,Natural language detection library for Rust. Try demo online: https://www.greyblake.com/whatlang/.,14.0,15,True,1.0,,,
11,xaynet,xaynetwork/xaynet/,ml-frameworks,https://github.com/xaynetwork/xaynet,https://github.com/xaynetwork/xaynet,Apache-2.0,2019-08-29 08:59:32,2021-03-23 08:50:10,2021-03-23 08:48:11,18.0,3.0,27.0,113.0,2463.0,2021-01-18 12:57:57,0.11.0,,,11.0,Xaynet represents an agnostic Federated Machine Learning framework to build privacy-preserving AI applications.,,15,True,2.0,,,
12,linfa,rust-ml/linfa/,ml-frameworks,https://github.com/rust-ml/linfa,https://github.com/rust-ml/linfa,,2018-04-05 07:03:30,2021-03-24 04:47:41,2021-03-22 18:57:08,54.0,15.0,23.0,824.0,196.0,2021-03-11 09:31:50,0.3.1,,,4.0,A Rust machine learning framework.,,14,False,2.0,,,
