,name,github_id,category,github_url,homepage,license,created_at,updated_at,last_commit_pushed_at,fork_count,open_issue_count,closed_issue_count,star_count,commit_count,latest_stable_release_published_at,latest_stable_release_number,github_release_downloads,monthly_downloads,release_count,description,contributor_count,projectrank,show,projectrank_placing,dependent_project_count,github_dependent_project_count,labels,trending,new_addition
0,vector,timberio/vector,data-loading,https://github.com/timberio/vector,https://github.com/timberio/vector,MPL-2.0,2018-08-27 16:57:34,2021-04-12 10:30:18,2021-04-12 09:29:10,458.0,1180.0,2166.0,6868.0,4305.0,2021-03-30 20:22:30,0.12.2,34160.0,1626.0,19.0,"A high-performance, high-reliability observability data pipeline.",126.0,23,True,1,,,,,
1,tokenizers,huggingface/tokenizers,nlp,https://github.com/huggingface/tokenizers,https://github.com/huggingface/tokenizers,Apache-2.0,2019-11-01 17:52:20,2021-04-06 20:57:28,2021-04-05 20:47:55,329.0,93.0,319.0,4437.0,1451.0,2021-04-05 20:48:25,python-v0.10.2,,,40.0,Fast State-of-the-Art Tokenizers optimized for Research and Production.,40.0,21,True,1,31.0,31.0,,,
2,rusoto,rusoto/rusoto,ml-frameworks,https://github.com/rusoto/rusoto,https://github.com/rusoto/rusoto,MIT,2015-07-15 00:22:17,2021-04-11 00:11:44,2021-01-28 22:52:55,353.0,188.0,673.0,2279.0,3150.0,2021-01-06 07:40:18,rusoto-v0.46.0,,,40.0,AWS SDK for Rust.,179.0,20,True,1,,,,,
3,tvm,apache/tvm,ml-frameworks,https://github.com/apache/tvm,https://github.com/apache/tvm,Apache-2.0,2016-10-12 22:20:28,2021-04-12 10:11:45,2021-04-12 03:58:43,1821.0,132.0,1649.0,6514.0,,2020-10-02 18:30:42,0.7.0,545.0,12.0,9.0,"Open deep learning compiler stack for cpu, gpu and specialized accelerators.",523.0,18,True,1,,,['binding'],,
4,grex,pemistahl/grex,nlp,https://github.com/pemistahl/grex,https://github.com/pemistahl/grex,Apache-2.0,2019-10-05 17:38:23,2021-03-28 22:08:44,2021-03-28 22:08:09,76.0,7.0,22.0,3319.0,,2021-03-28 22:11:03,1.2.0,2741.0,152.0,8.0,A command-line tool and library for generating regular expressions from user-provided test cases.,3.0,17,True,1,,,,1.0,
5,weld,weld-project/weld,ml-frameworks,https://github.com/weld-project/weld,https://github.com/weld-project/weld,BSD-3-Clause,2016-06-13 05:00:24,2021-03-01 08:58:21,2020-04-04 20:50:54,231.0,68.0,95.0,2570.0,615.0,,,,,3.0,High-performance runtime for data analytics applications.,36.0,17,True,1,2.0,2.0,,,
6,nalgebra,dimforge/nalgebra,ml-frameworks,https://github.com/dimforge/nalgebra,https://github.com/dimforge/nalgebra,Apache-2.0,2013-05-14 19:10:06,2021-04-12 10:16:03,2021-04-12 09:41:29,254.0,158.0,282.0,2067.0,1826.0,,,,,,Linear algebra library for Rust.,131.0,17,True,1,,,,,True
7,rust,tensorflow/rust,ml-frameworks,https://github.com/tensorflow/rust,https://github.com/tensorflow/rust,Apache-2.0,2016-02-05 00:32:17,2021-03-01 07:35:57,2021-02-18 04:15:09,241.0,28.0,101.0,3011.0,629.0,,,,,,Rust language bindings for TensorFlow.,37.0,16,True,1,,,['binding'],,
8,ballista,ballista-compute/ballista,ml-frameworks,https://github.com/ballista-compute/ballista,https://github.com/ballista-compute/ballista,Apache-2.0,2019-07-04 17:09:41,2021-04-11 15:55:25,2021-04-11 15:55:25,139.0,,250.0,2249.0,,2021-02-23 02:39:20,0.4.1,,,17.0,"Distributed compute platform implemented in Rust, and powered by Apache Arrow.",37.0,16,True,1,,,,,
9,polars,ritchie46/polars,data-loading,https://github.com/ritchie46/polars,https://github.com/ritchie46/polars,MIT,2020-05-13 19:45:33,2021-04-12 10:55:31,2021-04-12 10:50:30,63.0,26.0,232.0,1408.0,1396.0,,,,,,Fast multi-threaded DataFrame library in Rust and Python.,22.0,16,True,2,,,,,
10,xaynet,xaynetwork/xaynet,ml-frameworks,https://github.com/xaynetwork/xaynet,https://github.com/xaynetwork/xaynet,Apache-2.0,2019-08-29 08:59:32,2021-04-12 09:59:11,2021-03-31 15:29:59,18.0,3.0,27.0,122.0,2467.0,2021-01-18 12:57:57,0.11.0,,,11.0,Xaynet represents an agnostic Federated Machine Learning framework to build privacy-preserving AI applications.,28.0,16,True,1,,,,,
11,rayon,rayon-rs/rayon,data-loading,https://github.com/rayon-rs/rayon,https://github.com/rayon-rs/rayon,,2014-10-02 15:38:05,2021-04-12 09:06:59,2021-04-01 18:51:50,267.0,117.0,260.0,4993.0,1742.0,,,,,,Rayon: A data parallelism library for Rust.,115.0,15,False,2,,,,,
12,petgraph,petgraph/petgraph,graph,https://github.com/petgraph/petgraph,https://github.com/petgraph/petgraph,,2014-12-22 08:15:12,2021-03-23 18:15:51,2021-03-23 05:26:11,169.0,81.0,109.0,1220.0,1205.0,,,,,,Graph data structure library for Rust.,69.0,15,False,1,,,,,True
13,tract,sonos/tract,ml-frameworks,https://github.com/sonos/tract,https://github.com/sonos/tract,,2017-08-07 09:31:26,2021-04-12 10:09:34,2021-04-12 07:45:38,96.0,21.0,46.0,917.0,,2021-04-01 15:21:27,0.13.2,2001.0,250.0,16.0,"Tiny, no-nonsense, self-contained, Tensorflow and ONNX inference.",22.0,15,False,2,,,,,
14,cgmath,rustgd/cgmath,image,https://github.com/rustgd/cgmath,https://github.com/rustgd/cgmath,Apache-2.0,2013-08-26 05:16:44,2021-04-06 14:06:21,2021-04-06 14:06:21,131.0,50.0,115.0,785.0,1564.0,,,,,,A linear algebra and mathematics library for computer graphics.,92.0,15,True,1,,,,,True
15,Enzyme,wsmoses/Enzyme,ml-frameworks,https://github.com/wsmoses/Enzyme,https://github.com/wsmoses/Enzyme,,2019-02-27 03:27:23,2021-04-09 22:27:00,2021-04-04 20:07:28,27.0,12.0,25.0,447.0,,2021-03-23 23:36:21,0.0.9,,,3.0,High-performance automatic differentiation of LLVM.,1256.0,15,False,2,,,,,
16,rust-numpy,PyO3/rust-numpy,ml-frameworks,https://github.com/PyO3/rust-numpy,https://github.com/PyO3/rust-numpy,BSD-2-Clause,2017-04-21 06:36:48,2021-04-11 09:28:30,2021-04-11 09:28:30,57.0,13.0,46.0,439.0,,2021-03-17 03:43:02,0.13.1,,,11.0,PyO3-based Rust binding of NumPy C-API.,25.0,15,True,2,,,,,
17,whatlang-rs,greyblake/whatlang-rs,nlp,https://github.com/greyblake/whatlang-rs,https://github.com/greyblake/whatlang-rs,MIT,2016-11-05 21:26:51,2021-03-27 12:28:53,2021-03-27 12:28:50,28.0,3.0,32.0,424.0,471.0,2019-03-03 16:17:34,0.7.0,,,3.0,Natural language detection library for Rust. Try demo online: https://www.greyblake.com/whatlang/.,14.0,15,True,1,,,,,
18,evcxr,google/evcxr,ml-frameworks,https://github.com/google/evcxr,https://github.com/google/evcxr,Apache-2.0,2018-09-25 10:19:22,2021-04-12 10:51:59,2021-04-12 10:50:56,109.0,42.0,67.0,2371.0,369.0,,,,,,,25.0,14,False,2,,,,,True
19,texture-synthesis,EmbarkStudios/texture-synthesis,image,https://github.com/EmbarkStudios/texture-synthesis,https://github.com/EmbarkStudios/texture-synthesis,,2019-08-26 08:06:48,2021-03-26 11:29:57,2021-03-26 11:29:54,41.0,9.0,35.0,1365.0,,2021-03-26 11:26:35,0.8.2,1912.0,95.0,14.0,Example-based texture synthesis written in Rust.,18.0,14,False,2,,,,,
20,linfa,rust-ml/linfa,ml-frameworks,https://github.com/rust-ml/linfa,https://github.com/rust-ml/linfa,,2018-04-05 07:03:30,2021-04-12 11:29:06,2021-04-09 05:45:08,60.0,15.0,24.0,853.0,200.0,2021-03-11 09:31:50,0.3.1,,,4.0,A Rust machine learning framework.,14.0,14,False,2,,,,,
21,opencv-rust,twistedfall/opencv-rust,image,https://github.com/twistedfall/opencv-rust,https://github.com/twistedfall/opencv-rust,MIT,2015-04-14 06:32:54,2021-04-08 12:19:11,2021-04-06 11:13:31,64.0,7.0,171.0,621.0,873.0,,,,,,Rust bindings for OpenCV 3 & 4.,26.0,14,True,2,,,['binding'],,
22,imageproc,image-rs/imageproc,image,https://github.com/image-rs/imageproc,https://github.com/image-rs/imageproc,MIT,2015-09-27 18:11:32,2021-04-11 22:56:21,2021-04-08 20:15:18,81.0,53.0,90.0,350.0,655.0,,,,,,Image processing operations.,49.0,14,True,2,,,,,True
23,nlprule,bminixhofer/nlprule,nlp,https://github.com/bminixhofer/nlprule,https://github.com/bminixhofer/nlprule,,2020-07-19 16:24:54,2021-04-10 07:19:06,2021-04-10 07:18:35,26.0,13.0,23.0,319.0,,2021-04-08 16:40:45,0.6.0,1719.0,429.0,23.0,"A fast, low-resource Natural Language Processing and Text Correction library written in Rust.",6.0,14,False,1,,,,,
