,name,github_id,category,github_url,homepage,license,created_at,updated_at,last_commit_pushed_at,fork_count,open_issue_count,closed_issue_count,star_count,commit_count,description,dependent_project_count,github_dependent_project_count,contributor_count,projectrank,show,projectrank_placing,trending,latest_stable_release_published_at,latest_stable_release_number,github_release_downloads,monthly_downloads,release_count,labels,updated_github_id
0,arrow,apache/arrow,data-loading,https://github.com/apache/arrow,https://github.com/apache/arrow,Apache-2.0,2016-02-17 08:00:23,2021-06-07 13:00:53,2021-06-07 10:41:29,1839.0,7.0,600.0,7988.0,9336.0,Apache Arrow is a cross-language development platform for in-memory data. It specifies a standardized language-..,45.0,45.0,685.0,23,True,1,1.0,,,,,,,
1,vector,timberio/vector,data-loading,https://github.com/timberio/vector,https://github.com/timberio/vector,MPL-2.0,2018-08-27 16:57:34,2021-06-07 11:19:40,2021-06-05 00:05:17,508.0,1350.0,2319.0,7295.0,4611.0,"A high-performance, highly reliable, observability data pipeline.",,,145.0,23,True,1,,2021-06-03 18:58:41,0.14.0,43078.0,1872.0,22.0,,
2,tokenizers,huggingface/tokenizers,nlp,https://github.com/huggingface/tokenizers,https://github.com/huggingface/tokenizers,Apache-2.0,2019-11-01 17:52:20,2021-06-04 23:21:36,2021-05-24 21:31:01,354.0,106.0,339.0,4606.0,1463.0,Fast State-of-the-Art Tokenizers optimized for Research and Production.,34.0,34.0,40.0,21,True,1,,2021-05-24 21:31:46,python-v0.10.3,,,41.0,,
3,rusoto,rusoto/rusoto,ml-frameworks,https://github.com/rusoto/rusoto,https://github.com/rusoto/rusoto,MIT,2015-07-15 00:22:17,2021-04-28 19:49:27,2021-01-28 22:52:55,363.0,194.0,673.0,2344.0,3150.0,AWS SDK for Rust.,,,179.0,20,True,1,,2021-01-06 07:40:18,rusoto-v0.46.0,,,40.0,,
4,tvm,apache/tvm,ml-frameworks,https://github.com/apache/tvm,https://github.com/apache/tvm,Apache-2.0,2016-10-12 22:20:28,2021-06-07 11:45:48,2021-06-06 19:50:58,1904.0,136.0,1704.0,6748.0,,"Open deep learning compiler stack for cpu, gpu and specialized accelerators.",,,558.0,18,True,1,,2020-10-02 18:30:42,0.7.0,610.0,13.0,9.0,['binding'],
5,grex,pemistahl/grex,nlp,https://github.com/pemistahl/grex,https://github.com/pemistahl/grex,Apache-2.0,2019-10-05 17:38:23,2021-05-31 18:49:35,2021-05-31 18:49:35,88.0,6.0,26.0,3990.0,,A command-line tool and library for generating regular expressions from user-provided test cases.,,,4.0,17,True,1,,2021-03-28 22:11:03,1.2.0,3811.0,190.0,8.0,,
6,nalgebra,dimforge/nalgebra,ml-frameworks,https://github.com/dimforge/nalgebra,https://github.com/dimforge/nalgebra,Apache-2.0,2013-05-14 19:10:06,2021-06-06 14:28:21,2021-06-04 09:08:54,262.0,168.0,290.0,2152.0,1952.0,Linear algebra library for Rust.,,,134.0,17,True,1,,,,,,,,
7,polars,ritchie46/polars,data-loading,https://github.com/pola-rs/polars,https://github.com/pola-rs/polars,MIT,2020-05-13 19:45:33,2021-06-07 12:19:31,2021-06-06 16:25:37,95.0,36.0,298.0,1842.0,1697.0,Fast multi-threaded DataFrame library in Rust and Python.,3.0,3.0,26.0,17,True,2,,,,,,,,pola-rs/polars
8,rust,tensorflow/rust,ml-frameworks,https://github.com/tensorflow/rust,https://github.com/tensorflow/rust,Apache-2.0,2016-02-05 00:32:17,2021-05-14 04:31:30,2021-05-14 04:31:30,255.0,32.0,102.0,3127.0,633.0,Rust language bindings for TensorFlow.,,,39.0,16,True,1,,,,,,,['binding'],
9,weld,weld-project/weld,ml-frameworks,https://github.com/weld-project/weld,https://github.com/weld-project/weld,BSD-3-Clause,2016-06-13 05:00:24,2021-03-01 08:58:21,2020-04-04 20:50:54,235.0,68.0,95.0,2602.0,615.0,High-performance runtime for data analytics applications.,2.0,2.0,36.0,16,False,1,-1.0,,,,,3.0,,
10,ballista,ballista-compute/ballista,ml-frameworks,https://github.com/ballista-compute/ballista,https://github.com/ballista-compute/ballista,Apache-2.0,2019-07-04 17:09:41,2021-04-20 00:28:06,2021-04-20 00:28:05,139.0,,251.0,2247.0,,"Distributed compute platform implemented in Rust, and powered by Apache Arrow.",,,37.0,16,True,1,,2021-02-23 02:39:20,0.4.1,,,17.0,,
11,statrs,boxtown/statrs,ml-frameworks,https://github.com/statrs-dev/statrs,https://github.com/statrs-dev/statrs,MIT,2016-03-11 06:38:50,2021-05-16 16:36:23,2021-05-16 11:30:00,34.0,20.0,72.0,259.0,571.0,Statistical computation library for Rust.,,,21.0,16,True,1,,2021-05-16 16:36:23,0.14.0,,,1.0,,statrs-dev/statrs
