,name,github_id,category,github_url,homepage,license,created_at,updated_at,last_commit_pushed_at,fork_count,open_issue_count,closed_issue_count,star_count,commit_count,latest_stable_release_published_at,latest_stable_release_number,github_release_downloads,monthly_downloads,release_count,description,contributor_count,projectrank,show,projectrank_placing,dependent_project_count,github_dependent_project_count,labels,updated_github_id,trending
0,vector,timberio/vector,data-loading,https://github.com/timberio/vector,https://github.com/timberio/vector,MPL-2.0,2018-08-27 16:57:34,2021-06-28 12:13:16,2021-06-28 11:30:58,526.0,1357.0,2422.0,7473.0,4768.0,2021-06-03 18:58:41,0.14.0,47096.0,2047.0,22.0,"A high-performance, highly reliable, observability data pipeline.",153.0,24,True,1,,,,,
1,arrow,apache/arrow,data-loading,https://github.com/apache/arrow,https://github.com/apache/arrow,Apache-2.0,2016-02-17 08:00:23,2021-06-28 11:40:35,2021-06-28 11:28:03,1859.0,7.0,610.0,8074.0,9439.0,,,,,,Apache Arrow is a multi-language toolbox for accelerated data interchange and in-memory processing.,691.0,23,True,1,47.0,47.0,,,
2,tokenizers,huggingface/tokenizers,nlp,https://github.com/huggingface/tokenizers,https://github.com/huggingface/tokenizers,Apache-2.0,2019-11-01 17:52:20,2021-06-20 08:09:10,2021-05-24 21:31:01,363.0,114.0,343.0,4660.0,1463.0,2021-05-24 21:31:46,python-v0.10.3,,,41.0,Fast State-of-the-Art Tokenizers optimized for Research and Production.,40.0,21,True,1,35.0,35.0,,,
3,rusoto,rusoto/rusoto,ml-frameworks,https://github.com/rusoto/rusoto,https://github.com/rusoto/rusoto,MIT,2015-07-15 00:22:17,2021-06-09 06:01:06,2021-01-28 22:52:55,366.0,195.0,674.0,2354.0,3150.0,2021-01-06 07:40:18,rusoto-v0.46.0,,,40.0,AWS SDK for Rust.,179.0,20,True,1,,,,,
4,tvm,apache/tvm,ml-frameworks,https://github.com/apache/tvm,https://github.com/apache/tvm,Apache-2.0,2016-10-12 22:20:28,2021-06-28 11:26:14,2021-06-28 04:32:19,1924.0,148.0,1713.0,6849.0,,2020-10-02 18:30:42,0.7.0,622.0,14.0,9.0,"Open deep learning compiler stack for cpu, gpu and specialized accelerators.",573.0,18,True,1,,,['binding'],,
5,grex,pemistahl/grex,nlp,https://github.com/pemistahl/grex,https://github.com/pemistahl/grex,Apache-2.0,2019-10-05 17:38:23,2021-05-31 18:49:35,2021-05-31 18:49:35,88.0,6.0,26.0,4058.0,,2021-03-28 22:11:03,1.2.0,4133.0,206.0,8.0,A command-line tool and library for generating regular expressions from user-provided test cases.,4.0,17,True,1,,,,,
6,nalgebra,dimforge/nalgebra,ml-frameworks,https://github.com/dimforge/nalgebra,https://github.com/dimforge/nalgebra,Apache-2.0,2013-05-14 19:10:06,2021-06-26 16:39:28,2021-06-18 07:49:41,265.0,172.0,294.0,2167.0,1952.0,,,,,,Linear algebra library for Rust.,136.0,17,True,1,,,,,
7,polars,ritchie46/polars,data-loading,https://github.com/pola-rs/polars,https://github.com/pola-rs/polars,MIT,2020-05-13 19:45:33,2021-06-28 11:59:40,2021-06-28 07:49:39,107.0,46.0,332.0,1936.0,1788.0,,,,,,Fast multi-threaded DataFrame library in Rust and Python.,32.0,17,True,2,3.0,3.0,,pola-rs/polars,
8,datafuse,datafuselabs/datafuse,data-loading,https://github.com/datafuselabs/datafuse,https://github.com/datafuselabs/datafuse,Apache-2.0,2020-10-10 06:04:42,2021-06-28 11:56:16,2021-06-28 08:34:14,79.0,122.0,216.0,719.0,2183.0,,,134.0,26.0,40.0,"A Modern Real-Time Data Processing & Analytics DBMS with Cloud-Native Architecture, written in Rust.",28.0,17,True,2,,,,,
9,rust,tensorflow/rust,ml-frameworks,https://github.com/tensorflow/rust,https://github.com/tensorflow/rust,Apache-2.0,2016-02-05 00:32:17,2021-06-25 02:14:56,2021-06-25 02:14:56,255.0,31.0,103.0,3145.0,636.0,,,,,,Rust language bindings for TensorFlow.,39.0,16,True,1,,,['binding'],,
10,weld,weld-project/weld,ml-frameworks,https://github.com/weld-project/weld,https://github.com/weld-project/weld,BSD-3-Clause,2016-06-13 05:00:24,2021-03-01 08:58:21,2020-04-04 20:50:54,234.0,68.0,95.0,2610.0,615.0,,,,,3.0,High-performance runtime for data analytics applications.,36.0,16,False,1,2.0,2.0,,,
11,ballista,ballista-compute/ballista,ml-frameworks,https://github.com/ballista-compute/ballista,https://github.com/ballista-compute/ballista,Apache-2.0,2019-07-04 17:09:41,2021-04-20 00:28:06,2021-04-20 00:28:05,139.0,,251.0,2247.0,,2021-02-23 02:39:20,0.4.1,,,17.0,"Distributed compute platform implemented in Rust, and powered by Apache Arrow.",37.0,16,True,1,,,,,
12,statrs,boxtown/statrs,ml-frameworks,https://github.com/statrs-dev/statrs,https://github.com/statrs-dev/statrs,MIT,2016-03-11 06:38:50,2021-06-24 10:51:48,2021-06-24 10:51:48,34.0,19.0,74.0,260.0,578.0,2021-05-16 16:36:23,0.14.0,,,1.0,Statistical computation library for Rust.,21.0,16,True,1,,,,statrs-dev/statrs,
13,granne,granne/granne,ml-frameworks,https://github.com/granne/granne,https://github.com/granne/granne,MIT,2019-12-06 09:12:47,2021-06-06 12:58:39,2021-05-19 16:09:39,22.0,4.0,8.0,252.0,203.0,2021-06-06 12:58:39,0.5.2,,,3.0,Graph-based Approximate Nearest Neighbor Search.,6.0,16,True,1,,,,,
14,xaynet,xaynetwork/xaynet,ml-frameworks,https://github.com/xaynetwork/xaynet,https://github.com/xaynetwork/xaynet,Apache-2.0,2019-08-29 08:59:32,2021-06-28 08:34:20,2021-06-28 08:27:23,18.0,3.0,27.0,136.0,2512.0,2021-01-18 12:57:57,0.11.0,,,11.0,Xaynet represents an agnostic Federated Machine Learning framework to build privacy-preserving AI applications.,28.0,16,True,1,,,,,
15,rayon,rayon-rs/rayon,data-loading,https://github.com/rayon-rs/rayon,https://github.com/rayon-rs/rayon,,2014-10-02 15:38:05,2021-06-16 21:44:35,2021-05-21 17:14:09,280.0,122.0,269.0,5238.0,1767.0,,,,,,Rayon: A data parallelism library for Rust.,116.0,15,False,2,,,,,
16,petgraph,petgraph/petgraph,graph,https://github.com/petgraph/petgraph,https://github.com/petgraph/petgraph,,2014-12-22 08:15:12,2021-06-27 21:14:31,2021-06-27 10:58:44,184.0,82.0,120.0,1355.0,1233.0,,,,,,Graph data structure library for Rust.,81.0,15,False,1,,,,,
17,tract,sonos/tract,ml-frameworks,https://github.com/sonos/tract,https://github.com/sonos/tract,,2017-08-07 09:31:26,2021-06-25 13:11:14,2021-06-24 12:31:10,101.0,20.0,52.0,987.0,,2021-06-24 11:36:22,0.15.0,2800.0,280.0,20.0,"Tiny, no-nonsense, self-contained, Tensorflow and ONNX inference.",24.0,15,False,2,,,,,
18,cgmath,rustgd/cgmath,image,https://github.com/rustgd/cgmath,https://github.com/rustgd/cgmath,Apache-2.0,2013-08-26 05:16:44,2021-06-16 18:09:51,2021-06-16 18:09:50,134.0,51.0,116.0,815.0,1571.0,,,,,,A linear algebra and mathematics library for computer graphics.,94.0,15,True,1,,,,,
19,arrow-datafusion,apache/arrow-datafusion,data-loading,https://github.com/apache/arrow-datafusion,https://github.com/apache/arrow-datafusion,Apache-2.0,2021-04-17 15:40:23,2021-06-28 10:53:00,2021-06-28 10:53:00,84.0,222.0,161.0,629.0,3035.0,,,,,,Apache Arrow DataFusion and Ballista query engines.,231.0,15,True,2,,,,,
20,whatlang-rs,greyblake/whatlang-rs,nlp,https://github.com/greyblake/whatlang-rs,https://github.com/greyblake/whatlang-rs,MIT,2016-11-05 21:26:51,2021-05-13 17:08:30,2021-05-13 17:08:27,30.0,3.0,38.0,595.0,487.0,2019-03-03 16:17:34,0.7.0,,,3.0,Natural language detection library for Rust. Try demo online: https://whatlang.org/.,14.0,15,True,1,,,,,
21,rust-numpy,PyO3/rust-numpy,ml-frameworks,https://github.com/PyO3/rust-numpy,https://github.com/PyO3/rust-numpy,BSD-2-Clause,2017-04-21 06:36:48,2021-06-12 07:12:57,2021-06-12 07:11:06,62.0,17.0,46.0,477.0,,2021-06-12 07:12:57,0.13.2,,,12.0,PyO3-based Rust binding of NumPy C-API.,29.0,15,True,2,,,,,
22,synth,openquery-io/synth,data-loading,https://github.com/getsynth/synth,https://github.com/getsynth/synth,Apache-2.0,2020-08-09 08:51:34,2021-06-25 19:05:00,2021-06-25 19:03:41,20.0,2.0,6.0,402.0,106.0,2021-06-24 15:10:20,0.5.0-r4,503.0,125.0,17.0,The Declarative Data Generator.,4.0,15,True,2,,,,getsynth/synth,
23,texture-synthesis,EmbarkStudios/texture-synthesis,image,https://github.com/EmbarkStudios/texture-synthesis,https://github.com/EmbarkStudios/texture-synthesis,,2019-08-26 08:06:48,2021-05-07 07:17:02,2021-05-07 07:17:01,44.0,9.0,35.0,1412.0,,2021-03-26 11:26:35,0.8.2,2067.0,93.0,14.0,Example-based texture synthesis written in Rust.,18.0,14,False,2,,,,,
24,linfa,rust-ml/linfa,ml-frameworks,https://github.com/rust-ml/linfa,https://github.com/rust-ml/linfa,,2018-04-05 07:03:30,2021-06-27 20:49:51,2021-06-26 00:32:03,69.0,18.0,31.0,1032.0,219.0,2021-04-28 20:49:00,0.4.0,,,5.0,A Rust machine learning framework.,17.0,14,False,2,,,,,
25,GraphScope,alibaba/GraphScope,graph,https://github.com/alibaba/GraphScope,https://github.com/alibaba/GraphScope,Apache-2.0,2020-10-28 03:19:33,2021-06-28 11:22:05,2021-06-25 07:02:06,86.0,57.0,113.0,797.0,,2021-06-11 07:26:46,0.5.0,,,7.0,GraphScope: A One-Stop Large-Scale Graph Computing System from Alibaba.,16.0,14,True,2,,,,,
26,opencv-rust,twistedfall/opencv-rust,image,https://github.com/twistedfall/opencv-rust,https://github.com/twistedfall/opencv-rust,MIT,2015-04-14 06:32:54,2021-06-15 07:31:47,2021-06-15 06:12:20,66.0,11.0,186.0,680.0,897.0,,,,,,Rust bindings for OpenCV 3 & 4.,28.0,14,True,2,,,['binding'],,
27,rain,substantic/rain,ml-frameworks,https://github.com/substantic/rain,https://github.com/substantic/rain,MIT,2018-02-13 17:04:46,2018-12-16 16:29:51,2018-12-16 16:29:10,45.0,11.0,21.0,651.0,738.0,2018-09-05 14:54:26,0.4.0,798.0,20.0,10.0,Framework for large distributed pipelines.,10.0,14,False,2,,,,,
28,rustlearn,maciejkula/rustlearn,ml-frameworks,https://github.com/maciejkula/rustlearn,https://github.com/maciejkula/rustlearn,Apache-2.0,2015-12-03 21:48:17,2021-06-07 09:09:59,2020-06-21 02:01:58,44.0,9.0,4.0,491.0,76.0,2018-07-29 21:02:49,0.5.0,,,4.0,Machine learning crate for Rust.,9.0,14,True,2,,,,,
29,imageproc,image-rs/imageproc,image,https://github.com/image-rs/imageproc,https://github.com/image-rs/imageproc,MIT,2015-09-27 18:11:32,2021-06-20 03:15:39,2021-04-16 03:52:55,82.0,54.0,91.0,367.0,656.0,,,,,,Image processing operations.,50.0,14,True,2,,,,,
30,nlprule,bminixhofer/nlprule,nlp,https://github.com/bminixhofer/nlprule,https://github.com/bminixhofer/nlprule,,2020-07-19 16:24:54,2021-06-07 06:26:50,2021-06-07 06:26:50,28.0,13.0,27.0,344.0,,2021-04-24 09:12:56,0.6.4,2388.0,398.0,27.0,"A fast, low-resource Natural Language Processing and Text Correction library written in Rust.",7.0,14,False,1,,,,,
31,cleora,Synerise/cleora,ml-frameworks,https://github.com/Synerise/cleora,https://github.com/Synerise/cleora,,2020-11-05 17:16:06,2021-06-22 07:57:04,2021-05-14 12:46:38,24.0,6.0,7.0,332.0,45.0,2021-05-14 12:58:11,1.1.1,432.0,61.0,4.0,"Cleora AI is a general-purpose model for efficient, scalable learning of stable and inductive entity embeddings for..",7.0,14,False,2,,,,,
32,snips-nlu-rs,snipsco/snips-nlu-rs,nlp,https://github.com/snipsco/snips-nlu-rs,https://github.com/snipsco/snips-nlu-rs,,2018-02-21 09:29:02,2020-01-28 16:20:20,2020-01-28 16:19:54,56.0,4.0,15.0,316.0,1583.0,2020-01-28 16:20:20,0.65.6,,,33.0,Snips NLU rust implementation.,21.0,14,False,1,,,,,
33,graph-rs,sreeise/graph-rs,graph,https://github.com/sreeise/graph-rs,https://github.com/sreeise/graph-rs,MIT,2018-12-18 13:17:11,2021-06-21 03:07:03,2021-06-12 20:27:55,5.0,31.0,161.0,21.0,544.0,2021-06-12 20:31:49,0.1.0,,,3.0,Graph API client writen in Rust.,3.0,14,False,2,,,,,
34,rusty-machine,AtheMathmo/rusty-machine,ml-frameworks,https://github.com/AtheMathmo/rusty-machine,https://github.com/AtheMathmo/rusty-machine,MIT,2015-11-14 05:55:27,2020-07-10 17:17:37,2020-02-14 18:25:14,143.0,32.0,67.0,1175.0,532.0,,,,,,Machine Learning library for Rust.,20.0,13,False,2,,,,,
35,fst,BurntSushi/fst,data-loading,https://github.com/BurntSushi/fst,https://github.com/BurntSushi/fst,,2015-09-05 00:25:46,2021-06-06 11:01:26,2021-06-06 11:00:42,70.0,9.0,50.0,1149.0,258.0,,,,,,Represent large sets and maps compactly with finite state transducers.,25.0,13,False,3,,,,,
36,tch-rs,LaurentMazare/tch-rs,ml-frameworks,https://github.com/LaurentMazare/tch-rs,https://github.com/LaurentMazare/tch-rs,,2019-02-16 21:08:44,2021-06-24 14:40:12,2021-06-24 14:40:12,99.0,37.0,198.0,1110.0,572.0,,,,,,Rust bindings for the C++ api of PyTorch.,35.0,13,False,2,,,['binding'],,
