,name,github_id,category,github_url,homepage,license,created_at,updated_at,last_commit_pushed_at,fork_count,closed_issue_count,star_count,commit_count,description,dependent_project_count,github_dependent_project_count,contributor_count,projectrank,show,projectrank_placing,trending,open_issue_count,latest_stable_release_published_at,latest_stable_release_number,github_release_downloads,monthly_downloads,release_count,labels,updated_github_id,new_addition
0,arrow,apache/arrow,data-loading,https://github.com/apache/arrow,https://github.com/apache/arrow,Apache-2.0,2016-02-17 08:00:23,2021-07-19 09:49:20,2021-07-19 09:38:30,1871.0,620.0,8157.0,9574.0,Apache Arrow is a multi-language toolbox for accelerated data interchange and in-memory processing.,47.0,47.0,696.0,24,True,1,1.0,,,,,,,,,
1,vector,timberio/vector,data-loading,https://github.com/timberio/vector,https://github.com/timberio/vector,MPL-2.0,2018-08-27 16:57:34,2021-07-19 11:59:05,2021-07-16 20:33:17,554.0,2517.0,7640.0,4906.0,"A high-performance, highly reliable, observability data pipeline.",,,158.0,24,True,1,,1385.0,2021-07-16 17:50:27,0.15.0,51550.0,2147.0,23.0,,,
2,tokenizers,huggingface/tokenizers,nlp,https://github.com/huggingface/tokenizers,https://github.com/huggingface/tokenizers,Apache-2.0,2019-11-01 17:52:20,2021-07-19 11:17:31,2021-05-24 21:31:01,365.0,351.0,4689.0,1463.0,Fast State-of-the-Art Tokenizers optimized for Research and Production.,35.0,35.0,40.0,21,True,1,,121.0,2021-05-24 21:31:46,python-v0.10.3,,,41.0,,,
3,rusoto,rusoto/rusoto,ml-frameworks,https://github.com/rusoto/rusoto,https://github.com/rusoto/rusoto,MIT,2015-07-15 00:22:17,2021-07-12 18:29:43,2021-07-12 18:29:42,369.0,675.0,2381.0,3166.0,AWS SDK for Rust.,,,182.0,19,True,1,-1.0,197.0,2021-01-06 07:40:18,rusoto-v0.46.0,,,40.0,,,
4,tvm,apache/tvm,ml-frameworks,https://github.com/apache/tvm,https://github.com/apache/tvm,Apache-2.0,2016-10-12 22:20:28,2021-07-19 11:55:05,2021-07-19 11:55:04,1956.0,1720.0,6932.0,,"Open deep learning compiler stack for cpu, gpu and specialized accelerators.",,,590.0,18,True,1,,159.0,2020-10-02 18:30:42,0.7.0,644.0,14.0,9.0,['binding'],,
5,grex,pemistahl/grex,nlp,https://github.com/pemistahl/grex,https://github.com/pemistahl/grex,Apache-2.0,2019-10-05 17:38:23,2021-07-08 11:19:02,2021-05-31 18:49:35,89.0,28.0,4132.0,,A command-line tool and library for generating regular expressions from user-provided test cases.,,,4.0,17,True,1,,4.0,2021-03-28 22:11:03,1.2.0,4399.0,209.0,8.0,,,
6,nalgebra,dimforge/nalgebra,ml-frameworks,https://github.com/dimforge/nalgebra,https://github.com/dimforge/nalgebra,Apache-2.0,2013-05-14 19:10:06,2021-07-18 02:50:12,2021-07-11 15:52:45,269.0,294.0,2211.0,2014.0,Linear algebra library for Rust.,,,142.0,17,True,1,,178.0,,,,,,,,
7,polars,ritchie46/polars,data-loading,https://github.com/pola-rs/polars,https://github.com/pola-rs/polars,MIT,2020-05-13 19:45:33,2021-07-19 11:31:09,2021-07-19 11:26:06,111.0,366.0,2024.0,1877.0,Fast multi-threaded DataFrame library in Rust and Python.,3.0,3.0,34.0,17,True,2,,45.0,,,,,,,pola-rs/polars,
8,datafuse,datafuselabs/datafuse,data-loading,https://github.com/datafuselabs/datafuse,https://github.com/datafuselabs/datafuse,Apache-2.0,2020-10-10 06:04:42,2021-07-19 10:36:05,2021-07-19 10:35:01,93.0,262.0,874.0,2569.0,"A Modern Real-Time Data Processing & Analytics DBMS with Cloud-Native Architecture, written in Rust.",,,33.0,17,True,2,,139.0,,,245.0,40.0,58.0,,,
9,statrs,boxtown/statrs,ml-frameworks,https://github.com/statrs-dev/statrs,https://github.com/statrs-dev/statrs,MIT,2016-03-11 06:38:50,2021-07-13 15:58:06,2021-07-13 15:58:05,34.0,75.0,260.0,584.0,Statistical computation library for Rust.,,,21.0,17,True,1,1.0,19.0,2021-06-30 22:40:18,0.15.0,,,2.0,,statrs-dev/statrs,
