,name,github_id,category,github_url,homepage,license,created_at,updated_at,last_commit_pushed_at,fork_count,open_issue_count,closed_issue_count,star_count,commit_count,description,dependent_project_count,github_dependent_project_count,contributor_count,projectrank,show,projectrank_placing,updated_github_id,latest_stable_release_published_at,latest_stable_release_number,github_release_downloads,monthly_downloads,release_count,trending,labels
0,arrow,apache/arrow,data-loading,https://github.com/apache/arrow,https://github.com/apache/arrow,Apache-2.0,2016-02-17 08:00:23,2021-09-16 07:58:59,2021-09-16 07:58:56,1943.0,3.0,644.0,8373.0,9892.0,Apache Arrow is a multi-language toolbox for accelerated data interchange and in-memory processing.,52.0,52.0,730.0,24,True,1,,,,,,,,
1,vector,timberio/vector,data-loading,https://github.com/vectordotdev/vector,https://github.com/vectordotdev/vector,MPL-2.0,2018-08-27 16:57:34,2021-09-16 03:49:52,2021-09-16 03:49:51,593.0,1471.0,2738.0,7955.0,5346.0,A high-performance observability data pipeline.,,,171.0,24,True,1,vectordotdev/vector,2021-08-26 20:13:18,0.16.1,67354.0,2590.0,27.0,,
2,tokenizers,huggingface/tokenizers,nlp,https://github.com/huggingface/tokenizers,https://github.com/huggingface/tokenizers,Apache-2.0,2019-11-01 17:52:20,2021-09-08 09:30:12,2021-09-08 07:15:47,379.0,127.0,371.0,4835.0,1492.0,Fast State-of-the-Art Tokenizers optimized for Research and Production.,37.0,37.0,46.0,21,True,1,,2021-09-08 07:18:04,python-v0.11.0,,,43.0,,
3,rusoto,rusoto/rusoto,ml-frameworks,https://github.com/rusoto/rusoto,https://github.com/rusoto/rusoto,MIT,2015-07-15 00:22:17,2021-09-04 07:47:39,2021-07-26 14:25:10,378.0,204.0,677.0,2414.0,3167.0,AWS SDK for Rust.,,,183.0,20,True,1,,2021-08-21 01:09:06,rusoto-v0.47.0,,,41.0,1.0,
4,datafuse,datafuselabs/datafuse,data-loading,https://github.com/datafuselabs/databend,https://github.com/datafuselabs/databend,Apache-2.0,2020-10-10 06:04:42,2021-09-16 06:36:06,2021-09-16 02:16:19,177.0,209.0,495.0,2091.0,4089.0,"An elastic and reliable Cloud Warehouse, offers Blazing Fast Query and combines Elasticity, Simplicity, Low cost of..",,,52.0,20,True,2,datafuselabs/databend,,,3316.0,829.0,100.0,1.0,
5,tvm,apache/tvm,ml-frameworks,https://github.com/apache/tvm,https://github.com/apache/tvm,Apache-2.0,2016-10-12 22:20:28,2021-09-16 04:30:03,2021-09-16 04:29:02,2048.0,198.0,1777.0,7156.0,,"Open deep learning compiler stack for cpu, gpu and specialized accelerators.",,,624.0,18,True,1,,2020-10-02 18:30:42,0.7.0,709.0,15.0,9.0,,['binding']
6,grex,pemistahl/grex,nlp,https://github.com/pemistahl/grex,https://github.com/pemistahl/grex,Apache-2.0,2019-10-05 17:38:23,2021-09-15 13:10:49,2021-09-15 11:37:42,101.0,2.0,33.0,4417.0,,A command-line tool and library for generating regular expressions from user-provided test cases.,,,6.0,17,True,1,,2021-09-15 11:49:24,1.3.0,5160.0,224.0,9.0,,
7,polars,ritchie46/polars,data-loading,https://github.com/pola-rs/polars,https://github.com/pola-rs/polars,MIT,2020-05-13 19:45:33,2021-09-16 07:05:06,2021-09-16 05:57:32,138.0,65.0,468.0,2456.0,2210.0,Fast multi-threaded DataFrame library in Rust and Python.,4.0,4.0,40.0,17,True,2,pola-rs/polars,,,,,,,
8,nalgebra,dimforge/nalgebra,ml-frameworks,https://github.com/dimforge/nalgebra,https://github.com/dimforge/nalgebra,Apache-2.0,2013-05-14 19:10:06,2021-09-13 00:08:48,2021-08-30 08:32:47,282.0,190.0,298.0,2305.0,2092.0,Linear algebra library for Rust.,,,148.0,17,True,1,,,,,,,,
9,synth,openquery-io/synth,data-loading,https://github.com/getsynth/synth,https://github.com/getsynth/synth,Apache-2.0,2020-08-09 08:51:34,2021-09-16 06:51:52,2021-09-16 06:48:51,35.0,17.0,24.0,577.0,200.0,The Declarative Data Generator.,,,18.0,17,True,2,getsynth/synth,2021-09-06 18:17:34,0.5.4,1039.0,148.0,21.0,,
10,statrs,boxtown/statrs,ml-frameworks,https://github.com/statrs-dev/statrs,https://github.com/statrs-dev/statrs,MIT,2016-03-11 06:38:50,2021-09-01 19:00:23,2021-09-01 09:15:53,38.0,20.0,77.0,276.0,589.0,Statistical computation library for Rust.,,,22.0,17,True,1,statrs-dev/statrs,2021-06-30 22:40:18,0.15.0,,,2.0,,
11,rust,tensorflow/rust,ml-frameworks,https://github.com/tensorflow/rust,https://github.com/tensorflow/rust,Apache-2.0,2016-02-05 00:32:17,2021-09-08 00:54:39,2021-09-05 22:02:49,269.0,35.0,103.0,3259.0,667.0,Rust language bindings for TensorFlow.,,,42.0,16,True,1,,,,,,,,['binding']
12,weld,weld-project/weld,ml-frameworks,https://github.com/weld-project/weld,https://github.com/weld-project/weld,BSD-3-Clause,2016-06-13 05:00:24,2021-03-01 08:58:21,2020-04-04 20:50:54,238.0,69.0,95.0,2653.0,615.0,High-performance runtime for data analytics applications.,2.0,2.0,36.0,16,False,1,,,,,,3.0,,
13,arrow-datafusion,apache/arrow-datafusion,data-loading,https://github.com/apache/arrow-datafusion,https://github.com/apache/arrow-datafusion,Apache-2.0,2021-04-17 15:40:23,2021-09-16 07:41:07,2021-09-15 14:30:36,142.0,250.0,305.0,1101.0,3213.0,Apache Arrow DataFusion and Ballista query engines.,,,243.0,16,True,2,,,,,,,,
14,xaynet,xaynetwork/xaynet,ml-frameworks,https://github.com/xaynetwork/xaynet,https://github.com/xaynetwork/xaynet,Apache-2.0,2019-08-29 08:59:32,2021-09-15 07:07:07,2021-09-09 07:57:56,19.0,3.0,27.0,149.0,2562.0,Xaynet represents an agnostic Federated Machine Learning framework to build privacy-preserving AI applications.,,,28.0,16,True,1,,2021-01-18 12:57:57,0.11.0,,,11.0,,
