,name,github_id,category,github_url,homepage,updated_github_id,license,created_at,updated_at,last_commit_pushed_at,fork_count,open_issue_count,closed_issue_count,star_count,commit_count,latest_stable_release_published_at,latest_stable_release_number,github_release_downloads,monthly_downloads,release_count,description,contributor_count,projectrank,show,projectrank_placing,dependent_project_count,github_dependent_project_count,labels,trending,new_addition
0,vector,timberio/vector,data-loading,https://github.com/vectordotdev/vector,https://github.com/vectordotdev/vector,vectordotdev/vector,MPL-2.0,2018-08-27 16:57:34,2021-12-13 12:28:35,2021-12-13 09:38:44,654.0,1652.0,3062.0,8683.0,5965.0,2021-11-30 20:18:48,0.18.1,90228.0,3111.0,33.0,"A reliable, high-performance tool for building observability data pipelines.",191.0,25,True,1,,,,,
1,arrow,apache/arrow,data-loading,https://github.com/apache/arrow,https://github.com/apache/arrow,,Apache-2.0,2016-02-17 08:00:23,2021-12-13 12:33:47,2021-12-13 12:28:21,2026.0,14.0,679.0,8805.0,10546.0,,,,,,Apache Arrow is a multi-language toolbox for accelerated data interchange and in-memory processing.,779.0,24,True,1,57.0,57.0,,,
2,tokenizers,huggingface/tokenizers,nlp,https://github.com/huggingface/tokenizers,https://github.com/huggingface/tokenizers,,Apache-2.0,2019-11-01 17:52:20,2021-12-07 08:08:58,2021-10-07 14:56:48,407.0,146.0,383.0,5071.0,1493.0,2021-09-08 07:18:04,python-v0.11.0,,,43.0,Fast State-of-the-Art Tokenizers optimized for Research and Production.,46.0,21,True,1,38.0,38.0,,,
3,MeiliSearch,meilisearch/MeiliSearch,apps,https://github.com/meilisearch/MeiliSearch,https://github.com/meilisearch/MeiliSearch,,MIT,2018-04-23 11:45:28,2021-12-09 14:57:50,2021-12-09 14:02:48,668.0,47.0,746.0,20008.0,,2021-11-16 09:52:53,0.24.0,24184.0,967.0,71.0,"Powerful, fast, and an easy to use search engine.",77.0,20,True,1,,,,,
4,sonic,valeriansaliou/sonic,apps,https://github.com/valeriansaliou/sonic,https://github.com/valeriansaliou/sonic,,MPL-2.0,2019-02-26 13:16:58,2021-12-01 08:01:35,2021-12-01 08:01:33,403.0,45.0,183.0,12276.0,634.0,2021-11-09 17:15:58,1.3.2,583.0,17.0,21.0,"Fast, lightweight & schema-less search backend. An alternative to Elasticsearch that runs on a few MBs of RAM.",30.0,20,True,1,,,,,
5,zombodb,zombodb/zombodb,apps,https://github.com/zombodb/zombodb,https://github.com/zombodb/zombodb,,,2015-07-17 16:53:20,2021-11-23 18:46:52,2021-11-23 18:43:34,168.0,6.0,556.0,3778.0,1256.0,2021-11-23 18:46:52,3000.0.6,15951.0,224.0,100.0,Making Postgres and Elasticsearch work together like it's 2021.,24.0,20,False,1,,,,,
6,tvm,apache/tvm,ml-frameworks,https://github.com/apache/tvm,https://github.com/apache/tvm,,Apache-2.0,2016-10-12 22:20:28,2021-12-13 12:15:57,2021-12-13 11:51:11,2172.0,217.0,1856.0,7467.0,,2021-11-24 17:14:48,0.8.0,784.0,15.0,10.0,"Open deep learning compiler stack for cpu, gpu and specialized accelerators.",667.0,19,True,1,,,['binding'],,
7,rusoto,rusoto/rusoto,ml-frameworks,https://github.com/rusoto/rusoto,https://github.com/rusoto/rusoto,,MIT,2015-07-15 00:22:17,2021-09-27 10:12:06,2021-07-26 14:25:10,388.0,208.0,678.0,2470.0,3167.0,2021-08-21 01:09:06,rusoto-v0.47.0,,,41.0,AWS SDK for Rust.,186.0,19,True,1,,,,,
8,synth,openquery-io/synth,data-loading,https://github.com/getsynth/synth,https://github.com/getsynth/synth,getsynth/synth,Apache-2.0,2020-08-09 08:51:34,2021-12-13 11:59:47,2021-12-13 11:59:47,51.0,34.0,40.0,701.0,265.0,2021-12-10 15:05:11,0.6.2,1506.0,150.0,27.0,The Declarative Data Generator.,24.0,19,True,2,,,,1.0,
9,polars,ritchie46/polars,data-loading,https://github.com/pola-rs/polars,https://github.com/pola-rs/polars,pola-rs/polars,MIT,2020-05-13 19:45:33,2021-12-13 11:21:10,2021-12-13 11:12:43,199.0,72.0,701.0,3400.0,2698.0,,,,,,Fast multi-threaded DataFrame library in Rust and Python.,59.0,18,True,2,5.0,5.0,,,
10,nalgebra,dimforge/nalgebra,ml-frameworks,https://github.com/dimforge/nalgebra,https://github.com/dimforge/nalgebra,,Apache-2.0,2013-05-14 19:10:06,2021-12-13 08:28:56,2021-12-09 13:14:43,303.0,197.0,316.0,2425.0,2092.0,,,,,,Linear algebra library for Rust.,160.0,18,True,1,,,,,
11,arrow-datafusion,apache/arrow-datafusion,data-loading,https://github.com/apache/arrow-datafusion,https://github.com/apache/arrow-datafusion,,Apache-2.0,2021-04-17 15:40:23,2021-12-13 03:19:30,2021-12-11 20:47:23,214.0,302.0,457.0,1426.0,3406.0,,,,,,Apache Arrow DataFusion and Ballista query engines.,263.0,18,True,2,,,,,
12,tantivy,tantivy-search/tantivy,apps,https://github.com/quickwit-inc/tantivy,https://github.com/quickwit-inc/tantivy,quickwit-inc/tantivy,MIT,2016-01-11 08:32:16,2021-12-13 00:54:22,2021-12-13 00:54:21,329.0,146.0,445.0,5638.0,,2021-09-10 14:07:33,0.16.1,,,36.0,Tantivy is a full-text search engine library inspired by Apache Lucene and written in Rust.,97.0,17,True,2,,,,,
