,name,github_id,category,github_url,homepage,updated_github_id,license,created_at,updated_at,last_commit_pushed_at,fork_count,open_issue_count,closed_issue_count,star_count,commit_count,latest_stable_release_published_at,latest_stable_release_number,github_release_downloads,monthly_downloads,release_count,description,contributor_count,projectrank,show,projectrank_placing,dependent_project_count,github_dependent_project_count,labels,trending
0,vector,timberio/vector,data-loading,https://github.com/vectordotdev/vector,https://github.com/vectordotdev/vector,vectordotdev/vector,MPL-2.0,2018-08-27 16:57:34,2022-04-25 10:29:36,2022-04-25 06:11:14,738.0,1821.0,3460.0,9894.0,7027.0,2022-04-22 17:08:27,0.21.1,117629.0,3564.0,41.0,A high-performance observability data pipeline.,211.0,25,True,1,,,,
1,arrow,apache/arrow,data-loading,https://github.com/apache/arrow,https://github.com/apache/arrow,,Apache-2.0,2016-02-17 08:00:23,2022-04-25 12:36:40,2022-04-25 12:36:38,2203.0,37.0,719.0,9401.0,11412.0,,,,,,Apache Arrow is a multi-language toolbox for accelerated data interchange and in-memory processing.,848.0,24,True,1,66.0,66.0,,
2,MeiliSearch,meilisearch/MeiliSearch,apps,https://github.com/meilisearch/meilisearch,https://github.com/meilisearch/meilisearch,,MIT,2018-04-23 11:45:28,2022-04-21 18:16:30,2022-04-21 17:50:46,861.0,51.0,873.0,26055.0,,2022-03-17 11:27:38,0.26.1,35421.0,1221.0,90.0,"Powerful, fast, and an easy to use search engine.",82.0,21,True,1,,,,
3,sonic,valeriansaliou/sonic,apps,https://github.com/valeriansaliou/sonic,https://github.com/valeriansaliou/sonic,,MPL-2.0,2019-02-26 13:16:58,2022-04-09 10:55:40,2022-04-09 10:55:40,436.0,49.0,186.0,13031.0,643.0,2021-11-09 17:15:58,1.3.2,589.0,15.0,21.0,"Fast, lightweight & schema-less search backend. An alternative to Elasticsearch that runs on a few MBs of RAM.",31.0,20,True,1,,,,
4,zombodb,zombodb/zombodb,apps,https://github.com/zombodb/zombodb,https://github.com/zombodb/zombodb,,,2015-07-17 16:53:20,2022-04-21 15:12:11,2022-03-30 18:29:58,178.0,8.0,576.0,3940.0,1316.0,2022-03-31 14:43:55,3000.0.11,15552.0,207.0,100.0,Making Postgres and Elasticsearch work together like it's 2022.,28.0,20,False,1,,,,
5,rusoto,rusoto/rusoto,ml-frameworks,https://github.com/rusoto/rusoto,https://github.com/rusoto/rusoto,,MIT,2015-07-15 00:22:17,2022-04-25 05:10:42,2022-04-25 02:35:58,392.0,213.0,683.0,2525.0,3175.0,2022-04-25 05:12:51,rusoto-v0.48.0,,,42.0,AWS SDK for Rust.,188.0,20,True,1,,,,
6,tvm,apache/tvm,ml-frameworks,https://github.com/apache/tvm,https://github.com/apache/tvm,,Apache-2.0,2016-10-12 22:20:28,2022-04-25 11:10:33,2022-04-25 09:08:38,2333.0,271.0,2005.0,7999.0,,2021-11-24 17:14:48,0.8.0,1006.0,18.0,10.0,"Open deep learning compiler stack for cpu, gpu and specialized accelerators.",734.0,19,True,1,,,['binding'],
7,tokenizers,huggingface/tokenizers,nlp,https://github.com/huggingface/tokenizers,https://github.com/huggingface/tokenizers,,Apache-2.0,2019-11-01 17:52:20,2022-04-22 07:36:18,2022-04-22 07:36:18,452.0,172.0,432.0,5538.0,,2022-03-31 13:07:30,node-v0.12.0,,,58.0,Fast State-of-the-Art Tokenizers optimized for Research and Production.,55.0,19,True,1,46.0,46.0,,-2.0
8,polars,ritchie46/polars,data-loading,https://github.com/pola-rs/polars,https://github.com/pola-rs/polars,pola-rs/polars,MIT,2020-05-13 19:45:33,2022-04-25 11:14:51,2022-04-25 11:04:56,302.0,128.0,1119.0,5379.0,3463.0,2022-03-14 15:54:28,rust-polars-v0.20.0,,,1.0,Fast multi-threaded DataFrame library in Rust | Python | Node.js.,82.0,19,True,2,3.0,3.0,,2.0
9,synth,openquery-io/synth,data-loading,https://github.com/shuttle-hq/synth,https://github.com/shuttle-hq/synth,shuttle-hq/synth,Apache-2.0,2020-08-09 08:51:34,2022-02-28 14:30:04,2022-02-16 12:56:59,57.0,46.0,54.0,814.0,295.0,2022-02-10 21:21:47,0.6.5-r1,2305.0,164.0,30.0,The Declarative Data Generator.,25.0,19,True,2,,,,
