,name,github_id,category,github_url,homepage,updated_github_id,license,created_at,updated_at,last_commit_pushed_at,fork_count,open_issue_count,closed_issue_count,star_count,commit_count,latest_stable_release_published_at,latest_stable_release_number,github_release_downloads,monthly_downloads,release_count,description,dependent_project_count,github_dependent_project_count,contributor_count,projectrank,show,projectrank_placing,trending,labels
0,vector,timberio/vector,data-loading,https://github.com/vectordotdev/vector,https://github.com/vectordotdev/vector,vectordotdev/vector,MPL-2.0,2018-08-27 16:57:34,2022-08-22 04:07:25,2022-08-18 21:13:37,829.0,1705.0,4081.0,10984.0,7936.0,2022-08-10 20:30:01,0.23.3,162723.0,4397.0,48.0,A high-performance observability data pipeline.,945.0,945.0,256.0,30,True,1,,
1,rayon,rayon-rs/rayon,data-loading,https://github.com/rayon-rs/rayon,https://github.com/rayon-rs/rayon,,Apache-2.0,2014-10-02 15:38:05,2022-08-19 11:20:14,2022-08-11 18:19:28,362.0,148.0,304.0,7081.0,1857.0,,,,,,Rayon: A data parallelism library for Rust.,156600.0,156600.0,127.0,25,True,1,10.0,
2,arrow,apache/arrow,data-loading,https://github.com/apache/arrow,https://github.com/apache/arrow,,Apache-2.0,2016-02-17 08:00:23,2022-08-22 12:28:06,2022-08-21 06:19:13,2365.0,48.0,783.0,10032.0,12123.0,,,,,,Apache Arrow is a multi-language toolbox for accelerated data interchange and in-memory processing.,77.0,77.0,923.0,24,True,2,,
3,polars,ritchie46/polars,data-loading,https://github.com/pola-rs/polars,https://github.com/pola-rs/polars,pola-rs/polars,MIT,2020-05-13 19:45:33,2022-08-22 12:23:10,2022-08-22 11:06:26,410.0,201.0,1606.0,7543.0,4166.0,2022-08-04 12:02:04,rust-polars-v0.23.0,,,4.0,Fast multi-threaded DataFrame library in Rust | Python | Node.js.,1505.0,1505.0,113.0,24,True,2,,
4,rusoto,rusoto/rusoto,ml-frameworks,https://github.com/rusoto/rusoto,https://github.com/rusoto/rusoto,,MIT,2015-07-15 00:22:17,2022-07-11 16:42:18,2022-04-25 02:35:58,395.0,216.0,684.0,2569.0,3175.0,2022-04-25 05:12:51,rusoto-v0.48.0,,,42.0,AWS SDK for Rust.,291.0,291.0,188.0,24,True,1,,
5,petgraph,petgraph/petgraph,graph,https://github.com/petgraph/petgraph,https://github.com/petgraph/petgraph,,Apache-2.0,2014-12-22 08:15:12,2022-07-28 14:58:31,2022-07-27 09:20:44,219.0,101.0,129.0,1808.0,1255.0,,,,,,Graph data structure library for Rust.,74351.0,74351.0,91.0,24,True,1,,
6,rust-csv,BurntSushi/rust-csv,data-loading,https://github.com/BurntSushi/rust-csv,https://github.com/BurntSushi/rust-csv,,Unlicense,2014-03-22 06:58:51,2022-06-30 09:57:48,2021-12-16 12:50:09,168.0,45.0,138.0,1236.0,432.0,,,,,,"A CSV parser for Rust, with Serde support.",49893.0,49893.0,49.0,23,True,2,10.0,
7,arrow-rs,apache/arrow-rs,data-loading,https://github.com/apache/arrow-rs,https://github.com/apache/arrow-rs,,Apache-2.0,2021-04-17 15:40:05,2022-08-22 12:24:30,2022-08-22 07:48:08,262.0,349.0,830.0,1016.0,3966.0,,,,,,Official Rust implementation of Apache Arrow.,5398.0,5398.0,330.0,23,True,2,,
8,memchr,BurntSushi/memchr,nlp,https://github.com/BurntSushi/memchr,https://github.com/BurntSushi/memchr,,Unlicense,2015-06-11 23:01:31,2022-07-14 17:19:52,2022-07-14 17:19:37,67.0,6.0,42.0,416.0,181.0,,,,,,Optimized string search routines for Rust.,349191.0,349191.0,34.0,23,True,1,11.0,
9,arrow-datafusion,apache/arrow-datafusion,data-loading,https://github.com/apache/arrow-datafusion,https://github.com/apache/arrow-datafusion,,Apache-2.0,2021-04-17 15:40:23,2022-08-22 12:30:40,2022-08-21 10:58:46,411.0,468.0,1028.0,2363.0,4210.0,,,,,,Apache Arrow DataFusion SQL Query Engine.,403.0,403.0,325.0,22,True,2,,
