,name,github_id,category,github_url,homepage,updated_github_id,license,created_at,updated_at,last_commit_pushed_at,fork_count,open_issue_count,closed_issue_count,star_count,commit_count,latest_stable_release_published_at,latest_stable_release_number,github_release_downloads,monthly_downloads,release_count,description,dependent_project_count,github_dependent_project_count,contributor_count,projectrank,show,projectrank_placing,labels,trending,new_addition
0,vector,timberio/vector,data-loading,https://github.com/vectordotdev/vector,https://github.com/vectordotdev/vector,vectordotdev/vector,MPL-2.0,2018-08-27 16:57:34,2023-03-31 22:51:57,2023-03-31 18:02:54,1007.0,1494.0,5070.0,13096.0,9519.0,2023-03-06 15:25:27,0.28.1,413730.0,9194.0,58.0,A high-performance observability data pipeline.,1011.0,1011.0,317.0,32,True,1.0,,,
1,polars,ritchie46/polars,data-loading,https://github.com/pola-rs/polars,https://github.com/pola-rs/polars,pola-rs/polars,MIT,2020-05-13 19:45:33,2023-04-01 08:26:14,2023-04-01 06:40:11,796.0,582.0,2779.0,15860.0,5876.0,2023-03-31 16:41:24,py-0.16.17,,,55.0,"Fast multi-threaded, hybrid-out-of-core DataFrame library in Rust | Python | Node.js.",1316.0,1316.0,199.0,26,True,1.0,,,
2,rayon,rayon-rs/rayon,data-loading,https://github.com/rayon-rs/rayon,https://github.com/rayon-rs/rayon,,Apache-2.0,2014-10-02 15:38:05,2023-03-16 04:41:08,2023-03-14 21:43:32,399.0,139.0,344.0,8388.0,1993.0,,,,,,Rayon: A data parallelism library for Rust.,173646.0,173646.0,136.0,26,True,1.0,,,
3,nalgebra,dimforge/nalgebra,ml-frameworks,https://github.com/dimforge/nalgebra,https://github.com/dimforge/nalgebra,,Apache-2.0,2013-05-14 19:10:06,2023-03-16 02:32:10,2023-03-07 09:13:14,376.0,248.0,358.0,3136.0,2635.0,,,,,,Linear algebra library for Rust.,32007.0,32007.0,191.0,25,True,1.0,,,
4,petgraph,petgraph/petgraph,graph,https://github.com/petgraph/petgraph,https://github.com/petgraph/petgraph,,Apache-2.0,2014-12-22 08:15:12,2023-03-29 19:58:40,2023-03-03 13:16:51,238.0,113.0,136.0,2082.0,1267.0,,,,,,Graph data structure library for Rust.,83255.0,83255.0,97.0,25,True,1.0,,,
5,arrow-rs,apache/arrow-rs,data-loading,https://github.com/apache/arrow-rs,https://github.com/apache/arrow-rs,,Apache-2.0,2021-04-17 15:40:05,2023-04-01 08:04:33,2023-03-31 18:10:45,383.0,258.0,1444.0,1498.0,4783.0,,,,,,Official Rust implementation of Apache Arrow.,5649.0,5649.0,396.0,24,True,2.0,,,
6,MeiliSearch,meilisearch/MeiliSearch,apps,https://github.com/meilisearch/meilisearch,https://github.com/meilisearch/meilisearch,,MIT,2018-04-23 11:45:28,2023-03-31 07:20:25,2023-03-29 13:40:25,1232.0,116.0,1326.0,35237.0,,2023-02-23 15:48:18,1.0.2,82873.0,3069.0,100.0,"A lightning-fast search engine that fits effortlessly into your apps, websites, and workflow.",,,152.0,23,True,1.0,,,
7,rust-csv,BurntSushi/rust-csv,data-loading,https://github.com/BurntSushi/rust-csv,https://github.com/BurntSushi/rust-csv,,Unlicense,2014-03-22 06:58:51,2023-03-24 18:15:53,2023-03-13 13:26:29,189.0,46.0,148.0,1386.0,448.0,,,,,,"A CSV parser for Rust, with Serde support.",67861.0,67861.0,51.0,23,True,2.0,,,
8,memchr,BurntSushi/memchr,nlp,https://github.com/BurntSushi/memchr,https://github.com/BurntSushi/memchr,,Unlicense,2015-06-11 23:01:31,2023-02-13 14:17:44,2022-07-14 17:19:37,69.0,9.0,42.0,477.0,181.0,,,,,,Optimized string search routines for Rust.,409047.0,409047.0,34.0,23,True,1.0,,,
9,tantivy,tantivy-search/tantivy,apps,https://github.com/quickwit-oss/tantivy,https://github.com/quickwit-oss/tantivy,quickwit-oss/tantivy,MIT,2016-01-11 08:32:16,2023-03-31 08:03:39,2023-03-31 08:03:38,458.0,224.0,604.0,7905.0,,2023-02-10 04:26:52,0.19.2,,,42.0,Tantivy is a full-text search engine library inspired by Apache Lucene and written in Rust.,1125.0,1125.0,123.0,22,True,1.0,,,
