,name,github_id,category,github_url,homepage,updated_github_id,license,created_at,updated_at,last_commit_pushed_at,fork_count,open_issue_count,closed_issue_count,star_count,commit_count,latest_stable_release_published_at,latest_stable_release_number,github_release_downloads,monthly_downloads,release_count,description,dependent_project_count,github_dependent_project_count,contributor_count,projectrank,show,projectrank_placing,new_addition,trending,labels
0,vector,timberio/vector,data-loading,https://github.com/vectordotdev/vector,https://github.com/vectordotdev/vector,vectordotdev/vector,MPL-2.0,2018-08-27 16:57:34,2023-05-01 05:12:12,2023-04-29 00:58:15,1031.0,1522.0,5107.0,13352.0,9634.0,2023-04-20 16:59:58,0.29.1,521334.0,11333.0,61.0,A high-performance observability data pipeline.,1022.0,1022.0,322.0,32,True,1.0,,,
1,rayon,rayon-rs/rayon,data-loading,https://github.com/rayon-rs/rayon,https://github.com/rayon-rs/rayon,,Apache-2.0,2014-10-02 15:38:05,2023-04-22 04:04:49,2023-03-14 21:43:32,403.0,141.0,344.0,8538.0,1993.0,,,,,,Rayon: A data parallelism library for Rust.,176281.0,176281.0,136.0,26,True,1.0,,,
2,nalgebra,dimforge/nalgebra,ml-frameworks,https://github.com/dimforge/nalgebra,https://github.com/dimforge/nalgebra,,Apache-2.0,2013-05-14 19:10:06,2023-04-30 13:27:44,2023-04-30 13:27:44,385.0,253.0,360.0,3178.0,2635.0,,,,,,Linear algebra library for Rust.,32599.0,32599.0,197.0,25,True,1.0,,,
3,petgraph,petgraph/petgraph,graph,https://github.com/petgraph/petgraph,https://github.com/petgraph/petgraph,,Apache-2.0,2014-12-22 08:15:12,2023-04-12 18:53:44,2023-04-07 02:29:31,245.0,113.0,137.0,2118.0,1268.0,,,,,,Graph data structure library for Rust.,84847.0,84847.0,98.0,25,True,1.0,,,
4,arrow-rs,apache/arrow-rs,data-loading,https://github.com/apache/arrow-rs,https://github.com/apache/arrow-rs,,Apache-2.0,2021-04-17 15:40:05,2023-05-01 08:29:04,2023-04-30 07:49:00,404.0,258.0,1502.0,1573.0,4880.0,,,,,,Official Rust implementation of Apache Arrow.,5700.0,5700.0,407.0,24,True,2.0,,,
5,MeiliSearch,meilisearch/MeiliSearch,apps,https://github.com/meilisearch/meilisearch,https://github.com/meilisearch/meilisearch,,MIT,2018-04-23 11:45:28,2023-04-29 09:48:16,2023-04-27 13:14:00,1272.0,127.0,1341.0,36065.0,,2023-04-18 08:03:22,1.1.1,91657.0,3394.0,100.0,"A lightning-fast search engine that fits effortlessly into your apps, websites, and workflow.",,,154.0,23,True,1.0,,,
6,ChatGPT,lencx/ChatGPT,apps,https://github.com/lencx/ChatGPT,https://github.com/lencx/ChatGPT,,AGPL-3.0,2022-12-07 09:43:02,2023-04-26 16:22:10,2023-03-28 03:56:48,3576.0,350.0,273.0,34118.0,,2023-03-05 04:36:19,0.12.0,2279177.0,455835.0,32.0,"ChatGPT Desktop Application (Mac, Windows and Linux).",,,27.0,23,True,1.0,True,,
7,polars,ritchie46/polars,data-loading,https://github.com/pola-rs/polars,https://github.com/pola-rs/polars,pola-rs/polars,MIT,2020-05-13 19:45:33,2023-05-01 09:10:12,2023-05-01 09:04:09,857.0,682.0,2998.0,16805.0,,2023-04-30 13:03:22,py-0.17.10,,,66.0,"Fast multi-threaded, hybrid-out-of-core DataFrame library in Rust | Python | Node.js.",1724.0,1724.0,214.0,23,True,2.0,,-3.0,
8,rust-csv,BurntSushi/rust-csv,data-loading,https://github.com/BurntSushi/rust-csv,https://github.com/BurntSushi/rust-csv,,Unlicense,2014-03-22 06:58:51,2023-04-11 12:41:38,2023-03-13 13:26:29,192.0,47.0,152.0,1406.0,448.0,,,,,,"A CSV parser for Rust, with Serde support.",68610.0,68610.0,51.0,23,True,2.0,,,
9,tantivy,tantivy-search/tantivy,apps,https://github.com/quickwit-oss/tantivy,https://github.com/quickwit-oss/tantivy,quickwit-oss/tantivy,MIT,2016-01-11 08:32:16,2023-05-01 06:04:45,2023-05-01 01:32:20,466.0,223.0,619.0,8026.0,,2023-02-10 04:26:52,0.19.2,,,42.0,Tantivy is a full-text search engine library inspired by Apache Lucene and written in Rust.,1143.0,1143.0,125.0,22,True,2.0,,,
10,rusoto,rusoto/rusoto,ml-frameworks,https://github.com/rusoto/rusoto,https://github.com/rusoto/rusoto,,MIT,2015-07-15 00:22:17,2022-12-20 23:02:57,2022-04-25 02:35:58,407.0,219.0,685.0,2637.0,3175.0,2022-04-25 05:12:51,rusoto-v0.48.0,,,42.0,AWS SDK for Rust.,298.0,298.0,189.0,22,False,1.0,,,
