,name,github_id,category,github_url,homepage,updated_github_id,license,created_at,updated_at,last_commit_pushed_at,fork_count,open_issue_count,closed_issue_count,star_count,commit_count,latest_stable_release_published_at,latest_stable_release_number,github_release_downloads,monthly_downloads,release_count,description,dependent_project_count,github_dependent_project_count,contributor_count,projectrank,show,projectrank_placing,trending,labels,new_addition
0,vector,timberio/vector,data-loading,https://github.com/vectordotdev/vector,https://github.com/vectordotdev/vector,vectordotdev/vector,MPL-2.0,2018-08-27 16:57:34,2023-12-01 09:12:52,2023-11-30 23:29:31,1209.0,1587.0,5495.0,14972.0,10756.0,2023-11-16 16:10:23,0.34.1,1032789.0,19486.0,70.0,A high-performance observability data pipeline.,1046.0,1046.0,369.0,33,True,1.0,,,
1,rayon,rayon-rs/rayon,data-loading,https://github.com/rayon-rs/rayon,https://github.com/rayon-rs/rayon,,Apache-2.0,2014-10-02 15:38:05,2023-11-30 18:48:53,2023-10-30 17:07:57,431.0,159.0,369.0,9481.0,2041.0,,,,,,Rayon: A data parallelism library for Rust.,196759.0,196759.0,140.0,26,True,1.0,,,
2,nalgebra,dimforge/nalgebra,ml-frameworks,https://github.com/dimforge/nalgebra,https://github.com/dimforge/nalgebra,,Apache-2.0,2013-05-14 19:10:06,2023-11-27 07:08:30,2023-11-12 22:29:41,421.0,280.0,377.0,3492.0,2635.0,,,,,,Linear algebra library for Rust.,36432.0,36432.0,206.0,25,True,1.0,,,
3,petgraph,petgraph/petgraph,graph,https://github.com/petgraph/petgraph,https://github.com/petgraph/petgraph,,Apache-2.0,2014-12-22 08:15:12,2023-11-26 14:19:48,2023-11-01 11:56:51,281.0,128.0,147.0,2385.0,1273.0,,,,,,Graph data structure library for Rust.,96521.0,96521.0,102.0,25,True,1.0,,,
4,tokenizers,huggingface/tokenizers,nlp,https://github.com/huggingface/tokenizers,https://github.com/huggingface/tokenizers,,Apache-2.0,2019-11-01 17:52:20,2023-11-21 19:46:32,2023-11-20 08:56:29,641.0,271.0,581.0,7850.0,,2023-11-14 19:06:30,0.15.0,33.0,0.0,81.0,Fast State-of-the-Art Tokenizers optimized for Research and Production.,50703.0,50703.0,82.0,24,True,1.0,4.0,,
5,arrow-rs,apache/arrow-rs,data-loading,https://github.com/apache/arrow-rs,https://github.com/apache/arrow-rs,,Apache-2.0,2021-04-17 15:40:05,2023-11-30 17:49:26,2023-11-30 17:46:36,533.0,262.0,1872.0,1931.0,5390.0,,,,,,Official Rust implementation of Apache Arrow.,6073.0,6073.0,469.0,24,True,1.0,,,
6,ChatGPT,lencx/ChatGPT,apps,https://github.com/lencx/ChatGPT,https://github.com/lencx/ChatGPT,,AGPL-3.0,2022-12-07 09:43:02,2023-11-28 20:56:18,2023-08-03 13:30:37,4871.0,538.0,318.0,43551.0,,2023-08-03 13:51:20,1.1.0,4070938.0,339244.0,34.0,"ChatGPT Desktop Application (Mac, Windows and Linux).",,,30.0,23,True,1.0,,,
7,MeiliSearch,meilisearch/MeiliSearch,apps,https://github.com/meilisearch/meilisearch,https://github.com/meilisearch/meilisearch,,MIT,2018-04-23 11:45:28,2023-11-30 12:00:19,2023-11-29 10:19:40,1464.0,129.0,1533.0,40062.0,,2023-11-20 09:16:05,1.5.0,181826.0,6993.0,100.0,"A lightning-fast search engine that fits effortlessly into your apps, websites, and workflow.",,,174.0,23,True,1.0,,,
8,qdrant,qdrant/qdrant,apps,https://github.com/qdrant/qdrant,https://github.com/qdrant/qdrant,,Apache-2.0,2020-05-30 21:37:01,2023-12-01 09:12:00,2023-11-13 13:56:55,813.0,156.0,654.0,14713.0,1915.0,2023-10-11 18:42:02,1.6.1,5478.0,171.0,57.0,"Qdrant - High-performance, massive-scale Vector Database for the next generation of AI. Also available in the cloud..",,,70.0,23,True,1.0,2.0,,
9,tiktoken,openai/tiktoken,nlp,https://github.com/openai/tiktoken,https://github.com/openai/tiktoken,,MIT,2022-12-01 23:22:11,2023-11-20 17:58:16,2023-09-13 00:40:01,442.0,21.0,142.0,7585.0,,2023-09-13 00:40:45,0.5.1,,,6.0,tiktoken is a fast BPE tokeniser for use with OpenAI's models.,40878.0,40878.0,11.0,23,True,1.0,,,
10,arrow-datafusion,apache/arrow-datafusion,data-loading,https://github.com/apache/arrow-datafusion,https://github.com/apache/arrow-datafusion,,Apache-2.0,2021-04-17 15:40:23,2023-12-01 09:17:18,2023-11-30 22:56:03,752.0,803.0,2684.0,4294.0,6083.0,,,,,,Apache Arrow DataFusion SQL Query Engine.,2214.0,2214.0,495.0,23,True,2.0,,,
11,rust-csv,BurntSushi/rust-csv,data-loading,https://github.com/BurntSushi/rust-csv,https://github.com/BurntSushi/rust-csv,,Unlicense,2014-03-22 06:58:51,2023-11-23 21:15:58,2023-10-10 13:45:23,195.0,52.0,160.0,1530.0,457.0,,,,,,"A CSV parser for Rust, with Serde support.",74277.0,74277.0,53.0,23,True,2.0,,,
12,aho-corasick,BurntSushi/aho-corasick,nlp,https://github.com/BurntSushi/aho-corasick,https://github.com/BurntSushi/aho-corasick,,Unlicense,2015-06-11 23:02:10,2023-11-14 19:52:58,2023-10-20 16:26:35,84.0,,61.0,871.0,287.0,,,,,,A fast implementation of Aho-Corasick in Rust.,387441.0,387441.0,30.0,23,True,1.0,,,
13,memchr,BurntSushi/memchr,nlp,https://github.com/BurntSushi/memchr,https://github.com/BurntSushi/memchr,,Unlicense,2015-06-11 23:01:31,2023-11-26 21:27:12,2023-10-01 16:54:26,83.0,2.0,55.0,582.0,207.0,,,,,,Optimized string search routines for Rust.,493665.0,493665.0,40.0,23,True,1.0,,,
14,tantivy,tantivy-search/tantivy,apps,https://github.com/quickwit-oss/tantivy,https://github.com/quickwit-oss/tantivy,quickwit-oss/tantivy,MIT,2016-01-11 08:32:16,2023-11-30 15:55:20,2023-11-22 11:29:53,527.0,248.0,671.0,9017.0,,2023-09-01 12:01:59,0.21,,,45.0,Tantivy is a full-text search engine library inspired by Apache Lucene and written in Rust.,1300.0,1300.0,139.0,22,True,2.0,-1.0,,
15,linfa,rust-ml/linfa,ml-frameworks,https://github.com/rust-ml/linfa,https://github.com/rust-ml/linfa,,Apache-2.0,2018-04-05 07:03:30,2023-11-27 18:47:58,2023-11-23 13:59:06,198.0,39.0,93.0,3075.0,315.0,2022-06-15 05:07:41,0.6.0,,,8.0,A Rust machine learning framework.,356.0,356.0,37.0,22,True,1.0,,,
16,rusoto,rusoto/rusoto,ml-frameworks,https://github.com/rusoto/rusoto,https://github.com/rusoto/rusoto,,MIT,2015-07-15 00:22:17,2023-09-14 21:59:31,2022-04-25 02:35:58,412.0,221.0,688.0,2681.0,3175.0,2022-04-25 05:12:51,rusoto-v0.48.0,,,42.0,AWS SDK for Rust.,303.0,303.0,189.0,22,False,1.0,-1.0,,
17,sonic,valeriansaliou/sonic,apps,https://github.com/valeriansaliou/sonic,https://github.com/valeriansaliou/sonic,,MPL-2.0,2019-02-26 13:16:58,2023-11-26 13:57:27,2023-09-05 15:26:38,530.0,60.0,198.0,18816.0,696.0,2023-09-04 21:15:34,1.4.3,65.0,1.0,28.0,"Fast, lightweight & schema-less search backend. An alternative to Elasticsearch that runs on a few MBs of RAM.",21.0,21.0,37.0,21,True,2.0,2.0,,
18,tvm,apache/tvm,ml-frameworks,https://github.com/apache/tvm,https://github.com/apache/tvm,,Apache-2.0,2016-10-12 22:20:28,2023-12-01 07:14:26,2023-12-01 06:57:38,3048.0,572.0,2585.0,10572.0,,2023-10-23 07:41:10,0.14.0,3114.0,43.0,16.0,"Open deep learning compiler stack for cpu, gpu and specialized accelerators.",,,940.0,21,True,1.0,,['binding'],
19,fst,BurntSushi/fst,data-loading,https://github.com/BurntSushi/fst,https://github.com/BurntSushi/fst,,Unlicense,2015-09-05 00:25:46,2023-11-02 09:19:27,2023-10-06 01:38:53,103.0,24.0,59.0,1636.0,270.0,,,,,,Represent large sets and maps compactly with finite state transducers.,10253.0,10253.0,25.0,21,True,2.0,,,
20,opencv-rust,twistedfall/opencv-rust,image,https://github.com/twistedfall/opencv-rust,https://github.com/twistedfall/opencv-rust,,MIT,2015-04-14 06:32:54,2023-11-28 21:35:14,2023-11-25 12:03:32,123.0,27.0,405.0,1578.0,1343.0,,,,,,Rust bindings for OpenCV 3 & 4.,1207.0,1207.0,39.0,21,True,1.0,,['binding'],
21,synth,openquery-io/synth,data-loading,https://github.com/shuttle-hq/synth,https://github.com/shuttle-hq/synth,shuttle-hq/synth,Apache-2.0,2020-08-09 08:51:34,2023-08-29 16:57:10,2023-08-29 16:57:10,92.0,80.0,79.0,1256.0,345.0,2022-11-20 18:01:03,0.6.9,9023.0,265.0,35.0,The Declarative Data Generator.,112.0,112.0,31.0,21,True,2.0,-1.0,,
22,cgmath,rustgd/cgmath,image,https://github.com/rustgd/cgmath,https://github.com/rustgd/cgmath,,Apache-2.0,2013-08-26 05:16:44,2022-10-23 17:42:47,2022-04-16 17:32:31,152.0,54.0,123.0,1078.0,1580.0,,,,,,A linear algebra and mathematics library for computer graphics.,14419.0,14419.0,98.0,21,False,1.0,,,
23,whatlang-rs,greyblake/whatlang-rs,nlp,https://github.com/greyblake/whatlang-rs,https://github.com/greyblake/whatlang-rs,,MIT,2016-11-05 21:26:51,2023-11-15 08:47:50,2023-08-16 06:31:02,57.0,8.0,47.0,900.0,563.0,2022-10-23 14:15:03,0.16.2,,,4.0,Natural language detection library for Rust. Try demo online: https://whatlang.org/.,1447.0,1447.0,23.0,21,True,1.0,,,
