,name,github_id,category,github_url,homepage,updated_github_id,license,created_at,updated_at,last_commit_pushed_at,fork_count,open_issue_count,closed_issue_count,star_count,commit_count,latest_stable_release_published_at,latest_stable_release_number,github_release_downloads,monthly_downloads,release_count,description,contributor_count,projectrank,show,projectrank_placing,dependent_project_count,github_dependent_project_count,trending,labels,new_addition
0,vector,timberio/vector,data-loading,https://github.com/vectordotdev/vector,https://github.com/vectordotdev/vector,vectordotdev/vector,MPL-2.0,2018-08-27 16:57:34,2024-05-31 17:32:25,2024-05-30 15:12:01,1409.0,1695.0,5694.0,16750.0,11465.0,2024-05-07 15:54:06,0.38.0,1620486.0,27465.0,78.0,A high-performance observability data pipeline.,413.0,28,True,1.0,,,,,
1,qdrant,qdrant/qdrant,apps,https://github.com/qdrant/qdrant,https://github.com/qdrant/qdrant,,Apache-2.0,2020-05-30 21:37:01,2024-05-31 22:06:47,2024-05-28 12:22:14,1190.0,183.0,910.0,18407.0,2795.0,2024-05-28 12:43:45,1.9.4,40065.0,1054.0,72.0,"Qdrant - High-performance, massive-scale Vector Database for the next generation of AI. Also available in the cloud..",108.0,27,True,1.0,114.0,114.0,3.0,,
2,tokenizers,huggingface/tokenizers,nlp,https://github.com/huggingface/tokenizers,https://github.com/huggingface/tokenizers,,Apache-2.0,2019-11-01 17:52:20,2024-05-23 13:23:34,2024-05-06 09:49:38,719.0,38.0,902.0,8561.0,,2024-04-17 21:37:50,0.19.1,47.0,0.0,87.0,Fast State-of-the-Art Tokenizers optimized for Research and Production.,87.0,26,True,1.0,79913.0,79913.0,,,
3,nalgebra,dimforge/nalgebra,ml-frameworks,https://github.com/dimforge/nalgebra,https://github.com/dimforge/nalgebra,,Apache-2.0,2013-05-14 19:10:06,2024-05-23 07:51:39,2024-05-05 10:04:49,445.0,305.0,388.0,3781.0,2684.0,,,,,,Linear algebra library for Rust.,217.0,25,True,1.0,40051.0,40051.0,,,
4,petgraph,petgraph/petgraph,graph,https://github.com/petgraph/petgraph,https://github.com/petgraph/petgraph,,Apache-2.0,2014-12-22 08:15:12,2024-05-22 21:40:13,2024-05-08 09:26:45,311.0,146.0,151.0,2716.0,1291.0,,,,,,Graph data structure library for Rust.,107.0,25,True,1.0,110878.0,110878.0,,,
5,MeiliSearch,meilisearch/MeiliSearch,apps,https://github.com/meilisearch/meilisearch,https://github.com/meilisearch/meilisearch,,MIT,2018-04-23 11:45:28,2024-05-30 15:21:42,2024-05-30 14:53:31,1611.0,139.0,1708.0,43887.0,,2024-05-22 08:21:06,1.8.1,213303.0,8532.0,100.0,"A lightning-fast search API that fits effortlessly into your apps, websites, and workflow.",187.0,24,True,1.0,,,,,
6,tiktoken,openai/tiktoken,nlp,https://github.com/openai/tiktoken,https://github.com/openai/tiktoken,,MIT,2022-12-01 23:22:11,2024-05-30 22:20:42,2024-05-13 19:24:49,652.0,34.0,182.0,10626.0,,2024-05-13 18:03:21,0.7.0,,,9.0,tiktoken is a fast BPE tokeniser for use with OpenAI's models.,17.0,24,True,1.0,72736.0,72736.0,,,
7,rayon,rayon-rs/rayon,data-loading,https://github.com/rayon-rs/rayon,https://github.com/rayon-rs/rayon,,Apache-2.0,2014-10-02 15:38:05,2024-05-18 09:02:41,2024-05-02 20:54:43,466.0,169.0,383.0,10402.0,,,,,,,Rayon: A data parallelism library for Rust.,151.0,24,True,1.0,219723.0,219723.0,,,
8,arrow-rs,apache/arrow-rs,data-loading,https://github.com/apache/arrow-rs,https://github.com/apache/arrow-rs,,Apache-2.0,2021-04-17 15:40:05,2024-06-01 03:38:33,2024-05-31 13:26:20,642.0,283.0,2128.0,2240.0,5706.0,,,,,,Official Rust implementation of Apache Arrow.,535.0,24,True,1.0,6538.0,6538.0,,,
9,rust-csv,BurntSushi/rust-csv,data-loading,https://github.com/BurntSushi/rust-csv,https://github.com/BurntSushi/rust-csv,,Unlicense,2014-03-22 06:58:51,2024-05-25 20:20:41,2023-10-10 13:45:23,208.0,56.0,169.0,1621.0,457.0,,,,,,"A CSV parser for Rust, with Serde support.",53.0,24,True,1.0,79817.0,79817.0,,,
