,name,github_id,category,github_url,homepage,license,created_at,updated_at,last_commit_pushed_at,fork_count,open_issue_count,closed_issue_count,star_count,commit_count,latest_stable_release_published_at,latest_stable_release_number,github_release_downloads,monthly_downloads,release_count,description,dependent_project_count,github_dependent_project_count,contributor_count,projectrank,show,projectrank_placing,updated_github_id,trending,labels
0,qdrant,qdrant/qdrant,apps,https://github.com/qdrant/qdrant,https://github.com/qdrant/qdrant,Apache-2.0,2020-05-30 21:37:01,2024-10-31 20:55:58,2024-10-11 18:15:45,1379.0,271.0,1011.0,20402.0,3375.0,2024-10-11 19:38:48,1.12.1,244748.0,5691.0,85.0,"Qdrant - High-performance, massive-scale Vector Database and Vector Search Engine for the next generation of AI. Also..",115.0,115.0,122.0,28,True,1.0,,,
1,vector,timberio/vector,data-loading,https://github.com/vectordotdev/vector,https://github.com/vectordotdev/vector,MPL-2.0,2018-08-27 16:57:34,2024-11-01 05:22:50,2024-10-31 22:08:00,1539.0,1768.0,5870.0,17781.0,11997.0,2024-10-21 15:23:12,0.42.0,2280410.0,35631.0,85.0,A high-performance observability data pipeline.,,,467.0,28,True,1.0,vectordotdev/vector,,
2,tiktoken,openai/tiktoken,nlp,https://github.com/openai/tiktoken,https://github.com/openai/tiktoken,MIT,2022-12-01 23:22:11,2024-10-03 22:44:27,2024-10-03 21:15:34,755.0,33.0,205.0,12279.0,,2024-10-03 22:44:27,0.8.0,,,10.0,tiktoken is a fast BPE tokeniser for use with OpenAI's models.,101934.0,101934.0,17.0,25,True,1.0,,,
3,tokenizers,huggingface/tokenizers,nlp,https://github.com/huggingface/tokenizers,https://github.com/huggingface/tokenizers,Apache-2.0,2019-11-01 17:52:20,2024-11-01 09:17:23,2024-11-01 09:17:23,779.0,45.0,952.0,9023.0,,2024-10-10 09:56:39,0.20.1,66.0,1.0,89.0,Fast State-of-the-Art Tokenizers optimized for Research and Production.,111668.0,111668.0,100.0,25,True,1.0,,,
4,MeiliSearch,meilisearch/MeiliSearch,apps,https://github.com/meilisearch/meilisearch,https://github.com/meilisearch/meilisearch,MIT,2018-04-23 11:45:28,2024-10-31 16:40:19,2024-10-29 08:06:35,1806.0,157.0,1840.0,47164.0,,2024-10-28 08:36:44,1.11.0,224508.0,9761.0,100.0,"A lightning-fast search API that fits effortlessly into your apps, websites, and workflow.",,,195.0,24,True,1.0,,,
5,polars,ritchie46/polars,data-loading,https://github.com/pola-rs/polars,https://github.com/pola-rs/polars,,2020-05-13 19:45:33,2024-11-01 09:07:35,2024-11-01 09:07:06,1925.0,2027.0,7000.0,30080.0,,2024-11-01 09:07:35,rs-0.44.2,1876.0,134.0,100.0,"Dataframes powered by a multithreaded, vectorized query engine, written in Rust.",14321.0,14321.0,505.0,24,False,1.0,pola-rs/polars,,
6,rayon,rayon-rs/rayon,data-loading,https://github.com/rayon-rs/rayon,https://github.com/rayon-rs/rayon,Apache-2.0,2014-10-02 15:38:05,2024-10-28 22:16:11,2024-10-28 22:11:48,483.0,180.0,392.0,11012.0,,,,,,,Rayon: A data parallelism library for Rust.,239700.0,239700.0,152.0,24,True,1.0,,,
7,redb,cberner/redb,data-loading,https://github.com/cberner/redb,https://github.com/cberner/redb,Apache-2.0,2018-09-23 18:30:14,2024-11-01 04:06:55,2024-11-01 04:06:55,152.0,9.0,300.0,3277.0,1177.0,2024-10-27 21:04:43,2.2.0,,,47.0,An embedded key-value database in pure Rust.,714.0,714.0,25.0,24,True,1.0,,1.0,
8,petgraph,petgraph/petgraph,graph,https://github.com/petgraph/petgraph,https://github.com/petgraph/petgraph,Apache-2.0,2014-12-22 08:15:12,2024-08-19 16:33:30,2024-05-08 09:26:45,336.0,157.0,155.0,2911.0,1291.0,,,,,,Graph data structure library for Rust.,123152.0,123152.0,107.0,24,True,1.0,,-1.0,
9,arrow-rs,apache/arrow-rs,data-loading,https://github.com/apache/arrow-rs,https://github.com/apache/arrow-rs,Apache-2.0,2021-04-17 15:40:05,2024-10-31 18:41:00,2024-10-31 18:38:14,760.0,346.0,2392.0,2573.0,6096.0,,,,,,Official Rust implementation of Apache Arrow.,7043.0,7043.0,614.0,24,True,1.0,,,
10,rust-csv,BurntSushi/rust-csv,data-loading,https://github.com/BurntSushi/rust-csv,https://github.com/BurntSushi/rust-csv,Unlicense,2014-03-22 06:58:51,2024-09-25 20:44:55,2024-09-25 20:44:53,215.0,57.0,173.0,1709.0,458.0,,,,,,"A CSV parser for Rust, with Serde support.",84410.0,84410.0,53.0,24,True,1.0,,,
11,arrow,apache/arrow,data-loading,https://github.com/apache/arrow,https://github.com/apache/arrow,Apache-2.0,2016-02-17 08:00:23,2024-10-31 23:47:18,2024-10-31 23:47:17,3389.0,4462.0,21303.0,14503.0,,2024-10-28 08:54:17,apache-arrow-18.0.0,823.0,205.0,6.0,Apache Arrow is the universal columnar format and multi-language toolbox for fast data interchange and in-memory..,8.0,8.0,1312.0,23,True,2.0,,1.0,
12,tantivy,tantivy-search/tantivy,apps,https://github.com/quickwit-oss/tantivy,https://github.com/quickwit-oss/tantivy,MIT,2016-01-11 08:32:16,2024-11-01 05:46:27,2024-11-01 05:46:26,642.0,274.0,738.0,12060.0,,2024-04-12 05:05:18,0.22.0,,,46.0,Tantivy is a full-text search engine library inspired by Apache Lucene and written in Rust.,1622.0,1622.0,154.0,23,True,1.0,quickwit-oss/tantivy,,
13,rerun,rerun-io/rerun,image,https://github.com/rerun-io/rerun,https://github.com/rerun-io/rerun,Apache-2.0,2022-04-08 07:30:05,2024-11-01 08:10:26,2024-10-31 20:39:05,318.0,1022.0,2119.0,6488.0,,2024-10-17 15:51:17,0.19.0,51019.0,2429.0,33.0,"Visualize streams of multimodal data. Free, fast, easy to use, and simple to integrate. Built in Rust.",91.0,91.0,66.0,23,True,1.0,,,
14,cgmath,rustgd/cgmath,image,https://github.com/rustgd/cgmath,https://github.com/rustgd/cgmath,Apache-2.0,2013-08-26 05:16:44,2024-10-27 20:02:59,2024-10-27 20:02:59,154.0,56.0,123.0,1132.0,1585.0,,,,,,A linear algebra and mathematics library for computer graphics.,15548.0,15548.0,99.0,23,True,1.0,,,
15,aho-corasick,BurntSushi/aho-corasick,nlp,https://github.com/BurntSushi/aho-corasick,https://github.com/BurntSushi/aho-corasick,Unlicense,2015-06-11 23:02:10,2024-09-25 20:44:36,2024-09-25 20:44:34,88.0,5.0,64.0,1027.0,293.0,,,,,,A fast implementation of Aho-Corasick in Rust.,496956.0,496956.0,32.0,23,True,1.0,,,
16,memchr,BurntSushi/memchr,nlp,https://github.com/BurntSushi/memchr,https://github.com/BurntSushi/memchr,Unlicense,2015-06-11 23:01:31,2024-09-25 20:44:45,2024-09-25 20:44:42,98.0,7.0,61.0,887.0,247.0,,,,,,Optimized string search routines for Rust.,640782.0,640782.0,43.0,23,True,1.0,,,
17,statrs,boxtown/statrs,ml-frameworks,https://github.com/statrs-dev/statrs,https://github.com/statrs-dev/statrs,MIT,2016-03-11 06:38:50,2024-10-09 18:48:41,2024-10-09 18:48:41,83.0,41.0,109.0,591.0,827.0,2024-06-08 05:11:13,0.17.1,,,3.0,Statistical computation library for Rust.,17039.0,17039.0,46.0,23,True,1.0,statrs-dev/statrs,,
18,burn,burn-rs/burn,ml-frameworks,https://github.com/tracel-ai/burn,https://github.com/tracel-ai/burn,Apache-2.0,2022-07-18 23:11:45,2024-10-31 22:15:53,2024-10-31 22:15:53,432.0,207.0,497.0,8820.0,,2024-10-28 19:45:02,0.15.0,,,17.0,"Burn is a new comprehensive dynamic Deep Learning Framework built using Rust with extreme flexibility, compute..",473.0,473.0,142.0,22,True,1.0,tracel-ai/burn,,
19,nalgebra,dimforge/nalgebra,ml-frameworks,https://github.com/dimforge/nalgebra,https://github.com/dimforge/nalgebra,Apache-2.0,2013-05-14 19:10:06,2024-10-31 03:54:30,2024-10-31 03:54:30,472.0,319.0,401.0,3997.0,,,,,,,Linear algebra library for Rust.,42810.0,42810.0,220.0,22,True,1.0,,,
20,lance,eto-ai/lance,data-loading,https://github.com/lancedb/lance,https://github.com/lancedb/lance,Apache-2.0,2022-07-07 22:29:29,2024-10-31 21:01:00,2024-10-31 21:01:00,215.0,438.0,591.0,3920.0,,2024-10-21 21:58:22,0.19.1,,,100.0,Modern columnar data format for ML and LLMs implemented in Rust. Convert from parquet in 2 lines of code for 100x..,3097.0,3097.0,70.0,22,True,2.0,lancedb/lance,,
21,rusoto,rusoto/rusoto,ml-frameworks,https://github.com/rusoto/rusoto,https://github.com/rusoto/rusoto,MIT,2015-07-15 00:22:17,2023-12-11 09:58:15,2022-04-25 02:35:58,423.0,224.0,689.0,2731.0,3175.0,2022-04-25 05:12:51,rusoto-v0.48.0,,,42.0,AWS SDK for Rust.,310.0,310.0,189.0,22,False,1.0,,,
22,synth,openquery-io/synth,data-loading,https://github.com/shuttle-hq/synth,https://github.com/shuttle-hq/synth,Apache-2.0,2020-08-09 08:51:34,2024-09-27 15:51:09,2024-09-27 15:51:09,107.0,82.0,79.0,1387.0,350.0,2022-11-20 18:01:03,0.6.9,13625.0,302.0,35.0,The Declarative Data Generator.,112.0,112.0,32.0,22,True,2.0,shuttle-hq/synth,,
23,Peroxide,Axect/Peroxide,ml-frameworks,https://github.com/Axect/Peroxide,https://github.com/Axect/Peroxide,Apache-2.0,2018-04-20 18:38:06,2024-10-31 01:57:33,2024-10-31 01:56:00,32.0,7.0,28.0,521.0,1724.0,2024-07-30 23:04:23,0.37.9,,,15.0,Rust numeric library with high performance and friendly syntax.,211.0,211.0,23.0,22,True,1.0,,,
24,sonic,valeriansaliou/sonic,apps,https://github.com/valeriansaliou/sonic,https://github.com/valeriansaliou/sonic,MPL-2.0,2019-02-26 13:16:58,2024-08-03 08:43:05,2024-07-22 20:53:09,574.0,62.0,202.0,20051.0,729.0,2024-06-16 20:28:51,1.4.9,431.0,6.0,34.0,"Fast, lightweight & schema-less search backend. An alternative to Elasticsearch that runs on a few MBs of RAM.",21.0,21.0,44.0,21,True,2.0,,-1.0,
25,candle,huggingface/candle,ml-frameworks,https://github.com/huggingface/candle,https://github.com/huggingface/candle,Apache-2.0,2023-06-19 16:06:31,2024-10-30 17:09:06,2024-10-30 17:08:51,929.0,322.0,376.0,15744.0,,,,,,,Minimalist ML framework for Rust.,1193.0,1193.0,156.0,21,True,1.0,,,
26,arrow-datafusion,apache/arrow-datafusion,data-loading,https://github.com/apache/datafusion,https://github.com/apache/datafusion,Apache-2.0,2021-04-17 15:40:23,2024-11-01 02:51:31,2024-11-01 02:51:31,1150.0,1104.0,4171.0,6219.0,,,,,,,Apache DataFusion SQL Query Engine.,2694.0,2694.0,710.0,21,True,3.0,apache/datafusion,,
27,mistral.rs,EricLBuehler/mistral.rs,ml-frameworks,https://github.com/EricLBuehler/mistral.rs,https://github.com/EricLBuehler/mistral.rs,MIT,2024-02-26 22:30:06,2024-10-31 15:55:16,2024-10-29 09:22:21,303.0,84.0,185.0,4382.0,2472.0,2024-10-28 15:44:53,0.3.2,1026.0,146.0,35.0,Blazingly fast LLM inference.,,,34.0,21,True,1.0,,,
28,linfa,rust-ml/linfa,ml-frameworks,https://github.com/rust-ml/linfa,https://github.com/rust-ml/linfa,Apache-2.0,2018-04-05 07:03:30,2024-08-17 20:08:54,2024-07-03 11:37:43,241.0,60.0,97.0,3738.0,325.0,2022-06-15 05:07:41,0.6.0,,,8.0,A Rust machine learning framework.,538.0,538.0,45.0,21,True,1.0,,-1.0,
29,delta-rs,delta-io/delta-rs,data-loading,https://github.com/delta-io/delta-rs,https://github.com/delta-io/delta-rs,Apache-2.0,2020-04-26 03:48:06,2024-10-30 16:29:29,2024-10-30 16:13:24,393.0,209.0,905.0,2294.0,,2024-09-29 07:35:58,python-v0.20.1,,,76.0,"A native Rust library for Delta Lake, with bindings into Python.",411.0,411.0,189.0,21,True,3.0,,,
30,fst,BurntSushi/fst,data-loading,https://github.com/BurntSushi/fst,https://github.com/BurntSushi/fst,Unlicense,2015-09-05 00:25:46,2024-09-25 20:46:04,2024-09-25 20:46:03,115.0,26.0,62.0,1774.0,271.0,,,,,,Represent large sets and maps compactly with finite state transducers.,11270.0,11270.0,25.0,21,True,3.0,,,
31,rust-numpy,PyO3/rust-numpy,ml-frameworks,https://github.com/PyO3/rust-numpy,https://github.com/PyO3/rust-numpy,BSD-2-Clause,2017-04-21 06:36:48,2024-10-30 06:45:08,2024-10-30 06:33:46,106.0,13.0,124.0,1127.0,,2024-10-30 06:45:08,0.22.1,,,28.0,PyO3-based Rust bindings of the NumPy C-API.,3363.0,3363.0,51.0,21,True,1.0,,,
32,ollama-rs,pepperoni21/ollama-rs,nlp,https://github.com/pepperoni21/ollama-rs,https://github.com/pepperoni21/ollama-rs,MIT,2023-11-02 16:16:33,2024-10-01 17:52:39,2024-10-01 17:52:39,75.0,7.0,29.0,511.0,223.0,2024-09-07 17:28:00,0.2.1,,,12.0,A Rust library allowing to interact with the Ollama API.,254.0,254.0,26.0,21,True,1.0,,,
33,fancy-regex,fancy-regex/fancy-regex,nlp,https://github.com/fancy-regex/fancy-regex,https://github.com/fancy-regex/fancy-regex,MIT,2018-10-02 17:55:03,2024-10-24 10:27:21,2024-10-24 10:27:17,38.0,14.0,32.0,427.0,,2024-10-24 08:54:21,0.14.0,,,6.0,Rust library for regular expressions using fancy features like look-around and backreferences.,11231.0,11231.0,26.0,21,True,1.0,,2.0,
34,ChatGPT,lencx/ChatGPT,apps,https://github.com/lencx/ChatGPT,https://github.com/lencx/ChatGPT,,2022-12-07 09:43:02,2024-08-29 17:58:11,2024-08-29 17:58:11,5870.0,729.0,343.0,52795.0,,2023-08-03 13:51:20,1.1.0,5568417.0,242105.0,34.0,"ChatGPT Desktop Application (Mac, Windows and Linux).",,,31.0,20,False,2.0,,-1.0,
35,tvm,apache/tvm,ml-frameworks,https://github.com/apache/tvm,https://github.com/apache/tvm,Apache-2.0,2016-10-12 22:20:28,2024-10-31 05:03:12,2024-10-31 01:14:56,3295.0,443.0,2958.0,11752.0,,2024-10-17 15:36:51,0.18.0.rc0,4534.0,55.0,20.0,"Open deep learning compiler stack for cpu, gpu and specialized accelerators.",,,1029.0,20,True,2.0,,-1.0,['binding']
36,bloop,BloopAI/bloop,apps,https://github.com/BloopAI/bloop,https://github.com/BloopAI/bloop,Apache-2.0,2022-12-10 14:04:30,2024-10-18 06:08:21,2024-10-18 06:08:21,573.0,42.0,102.0,9429.0,,2024-04-23 16:43:29,0.6.5,53063.0,2307.0,48.0,bloop is a fast code search engine written in Rust.,,,28.0,20,True,2.0,,,
37,grex,pemistahl/grex,nlp,https://github.com/pemistahl/grex,https://github.com/pemistahl/grex,Apache-2.0,2019-10-05 17:38:23,2024-10-24 17:36:11,2024-10-08 18:16:07,171.0,8.0,45.0,7288.0,,2024-03-06 10:49:19,1.4.5,46269.0,758.0,15.0,A command-line tool and Rust library with Python bindings for generating regular expressions from user-provided test..,162.0,162.0,10.0,20,True,1.0,,,
38,tch-rs,LaurentMazare/tch-rs,ml-frameworks,https://github.com/LaurentMazare/tch-rs,https://github.com/LaurentMazare/tch-rs,Apache-2.0,2019-02-16 21:08:44,2024-10-31 08:17:56,2024-10-31 08:17:55,335.0,144.0,422.0,4302.0,,,,1968.0,63.0,1.0,Rust bindings for the C++ api of PyTorch.,1940.0,1940.0,76.0,20,True,2.0,,,['binding']
39,arroyo,ArroyoSystems/arroyo,data-loading,https://github.com/ArroyoSystems/arroyo,https://github.com/ArroyoSystems/arroyo,Apache-2.0,2023-03-31 17:41:56,2024-10-31 22:02:09,2024-10-31 22:02:06,213.0,52.0,98.0,3753.0,657.0,2024-09-24 15:25:25,0.12.0,509.0,28.0,22.0,Distributed stream processing engine in Rust.,,,24.0,20,True,3.0,,,
40,LlamaEdge,LlamaEdge/LlamaEdge,apps,https://github.com/LlamaEdge/LlamaEdge,https://github.com/LlamaEdge/LlamaEdge,Apache-2.0,2023-10-09 03:30:44,2024-11-01 09:17:02,2024-10-30 06:04:39,89.0,2.0,97.0,1070.0,,2024-10-30 09:20:10,0.14.12,624789.0,56799.0,72.0,The easiest & fastest way to run customized and fine-tuned LLMs locally or on the edge.,20.0,20.0,9.0,20,True,2.0,,,
41,imageproc,image-rs/imageproc,image,https://github.com/image-rs/imageproc,https://github.com/image-rs/imageproc,MIT,2015-09-27 18:11:32,2024-10-19 21:53:29,2024-10-19 21:53:29,146.0,60.0,175.0,756.0,768.0,,,,,,Image processing operations.,5180.0,5180.0,79.0,20,True,2.0,,,
42,azure-sdk-for-rust,Azure/azure-sdk-for-rust,ml-frameworks,https://github.com/Azure/azure-sdk-for-rust,https://github.com/Azure/azure-sdk-for-rust,MIT,2020-09-15 18:05:06,2024-11-01 00:10:39,2024-11-01 00:10:38,237.0,184.0,430.0,707.0,,,,,,24.0,This repository is for the active development of the Azure SDK for Rust. For consumers of the SDK we recommend..,1271.0,1271.0,155.0,20,True,2.0,,,['binding']
43,sprs,vbarrielle/sprs,ml-frameworks,https://github.com/sparsemat/sprs,https://github.com/sparsemat/sprs,Apache-2.0,2015-05-17 19:01:01,2024-10-22 18:07:06,2024-10-22 18:07:06,45.0,46.0,109.0,396.0,1160.0,,,,,,sparse linear algebra library for rust.,1415.0,1415.0,37.0,20,True,2.0,sparsemat/sprs,,
44,screenpipe,mediar-ai/screenpipe,apps,https://github.com/mediar-ai/screenpipe,https://github.com/mediar-ai/screenpipe,MIT,2024-06-19 13:23:56,2024-11-01 03:08:04,2024-11-01 02:58:25,489.0,79.0,216.0,8659.0,,2024-10-31 18:26:55,0.1.98,2115.0,423.0,70.0,open source 24/7 screen & voice recording for the age of superintelligence.,,,39.0,19,True,2.0,,2.0,
45,llama-rs,rustformers/llama-rs,nlp,https://github.com/rustformers/llm,https://github.com/rustformers/llm,Apache-2.0,2023-03-13 16:59:26,2024-06-24 16:29:01,2024-06-24 16:28:50,348.0,81.0,150.0,6079.0,,2023-05-08 19:23:10,0.1.1,1206.0,67.0,1.0,"[Unmaintained, see README] An ecosystem of Rust libraries for working with large language models.",320.0,320.0,53.0,19,True,2.0,rustformers/llm,,
46,tract,sonos/tract,ml-frameworks,https://github.com/sonos/tract,https://github.com/sonos/tract,,2017-08-07 09:31:26,2024-10-30 15:01:10,2024-10-28 08:32:40,205.0,43.0,200.0,2219.0,,2024-09-23 13:13:37,0.21.7,15048.0,295.0,85.0,"Tiny, no-nonsense, self-contained, Tensorflow and ONNX inference.",34.0,34.0,74.0,19,False,2.0,,,
47,lindera,lindera-morphology/lindera,nlp,https://github.com/lindera/lindera,https://github.com/lindera/lindera,MIT,2020-01-22 14:27:57,2024-11-01 05:01:22,2024-11-01 05:01:20,37.0,11.0,73.0,384.0,,2024-10-27 02:31:04,0.35.0,2063.0,36.0,71.0,A multilingual morphological analysis library.,797.0,797.0,19.0,19,True,2.0,lindera/lindera,,
48,Raphtory,Pometry/Raphtory,graph,https://github.com/Pometry/Raphtory,https://github.com/Pometry/Raphtory,GPL-3.0,2017-05-30 13:15:18,2024-10-31 11:30:57,2024-10-24 12:05:54,54.0,115.0,394.0,343.0,1489.0,2024-10-24 12:06:24,0.13.1,346.0,7.0,43.0,"Scalable graph analytics database powered by a multithreaded, vectorized temporal engine, written in Rust.",15.0,15.0,30.0,19,True,2.0,,,
49,pyrus-cramjam,milesgranger/pyrus-cramjam,ml-frameworks,https://github.com/milesgranger/cramjam,https://github.com/milesgranger/cramjam,MIT,2020-03-08 07:46:33,2024-10-16 06:15:20,2024-10-16 05:19:09,7.0,5.0,56.0,89.0,143.0,2024-10-16 06:15:20,2.9.0,358.0,6.0,49.0,"Your go-to for easy access to a plethora of compression algorithms, all neatly bundled in one simple installation.",4370.0,4370.0,9.0,19,False,2.0,milesgranger/cramjam,,
50,quickwit,quickwit-inc/quickwit,apps,https://github.com/quickwit-oss/quickwit,https://github.com/quickwit-oss/quickwit,,2021-04-13 22:45:40,2024-11-01 09:07:22,2024-10-30 19:45:21,336.0,613.0,1701.0,8202.0,,2024-06-17 17:20:56,0.8.2,9743.0,243.0,25.0,"Cloud-native search engine for observability. An open-source alternative to Datadog, Elasticsearch, Loki, and Tempo.",,,83.0,18,False,2.0,quickwit-oss/quickwit,,
51,datafuse,datafuselabs/datafuse,data-loading,https://github.com/databendlabs/databend,https://github.com/databendlabs/databend,,2020-10-10 06:04:42,2024-11-01 08:34:19,2024-11-01 08:03:59,737.0,528.0,4878.0,7819.0,,2024-08-19 03:56:17,1.2.615,984.0,246.0,100.0,", & . Modern alternative to Snowflake. Cost-effective and simple for massive-scale analytics. https://databend.com.",1.0,1.0,232.0,18,False,3.0,databendlabs/databend,,
52,evcxr,google/evcxr,ml-frameworks,https://github.com/evcxr/evcxr,https://github.com/evcxr/evcxr,,2018-09-25 10:19:22,2024-10-12 06:45:19,2024-10-11 06:10:34,215.0,107.0,149.0,5574.0,,2023-12-17 00:16:37,0.17.0,5330.0,205.0,7.0,,165.0,165.0,49.0,18,False,2.0,evcxr/evcxr,,
53,zombodb,zombodb/zombodb,apps,https://github.com/zombodb/zombodb,https://github.com/zombodb/zombodb,,2015-07-17 16:53:20,2024-07-24 15:14:41,2024-07-24 14:56:51,210.0,11.0,670.0,4685.0,1641.0,2024-07-24 15:14:41,3000.2.6,8453.0,90.0,100.0,Making Postgres and Elasticsearch work together like it's 2023.,,,35.0,18,False,2.0,,,
54,rust-bert,guillaume-be/rust-bert,nlp,https://github.com/guillaume-be/rust-bert,https://github.com/guillaume-be/rust-bert,Apache-2.0,2020-01-25 09:40:07,2024-09-29 14:13:25,2024-09-29 14:12:54,211.0,58.0,159.0,2632.0,,,,,,,"Rust native ready-to-use NLP pipelines and transformer-based models (BERT, DistilBERT, GPT2,...).",617.0,617.0,48.0,18,True,2.0,,,
