,name,github_id,category,github_url,homepage,license,created_at,updated_at,last_commit_pushed_at,fork_count,open_issue_count,closed_issue_count,star_count,commit_count,latest_stable_release_published_at,latest_stable_release_number,github_release_downloads,monthly_downloads,release_count,description,dependent_project_count,github_dependent_project_count,contributor_count,projectrank,show,projectrank_placing,updated_github_id,trending,labels,new_addition
0,qdrant,qdrant/qdrant,apps,https://github.com/qdrant/qdrant,https://github.com/qdrant/qdrant,Apache-2.0,2020-05-30 21:37:01,2025-04-01 09:03:33,2025-03-31 19:30:28,1553.0,322.0,1105.0,22809.0,4120.0,2025-03-31 23:28:22,1.13.6,370108.0,7710.0,97.0,"Qdrant - High-performance, massive-scale Vector Database and Vector Search Engine for the next generation of AI. Also..",117.0,117.0,132.0,28,True,1.0,,,,
1,vector,timberio/vector,data-loading,https://github.com/vectordotdev/vector,https://github.com/vectordotdev/vector,MPL-2.0,2018-08-27 16:57:34,2025-03-31 21:56:13,2025-03-31 20:15:11,1670.0,1872.0,6001.0,19060.0,12428.0,2025-02-24 15:58:27,0.45.0,3104149.0,44987.0,89.0,A high-performance observability data pipeline.,,,516.0,28,True,1.0,vectordotdev/vector,,,
2,polars,ritchie46/polars,data-loading,https://github.com/pola-rs/polars,https://github.com/pola-rs/polars,,2020-05-13 19:45:33,2025-04-01 09:14:28,2025-04-01 09:14:28,2127.0,2306.0,7907.0,32741.0,,2025-03-23 11:54:11,py-1.26.0,3575.0,210.0,100.0,"Dataframes powered by a multithreaded, vectorized query engine, written in Rust.",21189.0,21189.0,557.0,26,False,1.0,pola-rs/polars,,,
3,tiktoken,openai/tiktoken,nlp,https://github.com/openai/tiktoken,https://github.com/openai/tiktoken,MIT,2022-12-01 23:22:11,2025-03-17 23:47:14,2025-03-09 07:26:44,904.0,37.0,220.0,13988.0,,2025-02-14 20:14:03,0.9.0,,,11.0,tiktoken is a fast BPE tokeniser for use with OpenAI's models.,139803.0,139803.0,18.0,25,True,1.0,,,,
4,tokenizers,huggingface/tokenizers,nlp,https://github.com/huggingface/tokenizers,https://github.com/huggingface/tokenizers,Apache-2.0,2019-11-01 17:52:20,2025-03-18 16:33:44,2025-03-18 16:33:44,848.0,65.0,978.0,9547.0,,2025-03-13 10:44:52,0.21.1,74.0,1.0,94.0,Fast State-of-the-Art Tokenizers optimized for Research and Production.,151922.0,151922.0,106.0,25,True,1.0,,,,
5,redb,cberner/redb,data-loading,https://github.com/cberner/redb,https://github.com/cberner/redb,Apache-2.0,2018-09-23 18:30:14,2025-03-29 20:00:56,2025-03-29 20:00:56,163.0,16.0,327.0,3599.0,1243.0,2024-12-30 20:42:21,2.4.0,,,49.0,An embedded key-value database in pure Rust.,1027.0,1027.0,29.0,25,True,1.0,,,,
6,petgraph,petgraph/petgraph,graph,https://github.com/petgraph/petgraph,https://github.com/petgraph/petgraph,Apache-2.0,2014-12-22 08:15:12,2025-03-31 19:21:29,2025-03-31 18:59:37,358.0,158.0,178.0,3222.0,1341.0,,,,,,Graph data structure library for Rust.,134945.0,134945.0,120.0,25,True,1.0,,,,
7,MeiliSearch,meilisearch/MeiliSearch,apps,https://github.com/meilisearch/meilisearch,https://github.com/meilisearch/meilisearch,MIT,2018-04-23 11:45:28,2025-04-01 08:55:44,2025-03-27 10:52:23,1937.0,192.0,1987.0,50038.0,,2025-03-05 08:47:03,1.13.3,229135.0,10911.0,100.0,A lightning-fast search engine API bringing AI-powered hybrid search to your sites and applications.,,,212.0,24,True,1.0,,,,
8,arrow-rs,apache/arrow-rs,data-loading,https://github.com/apache/arrow-rs,https://github.com/apache/arrow-rs,Apache-2.0,2021-04-17 15:40:05,2025-03-31 14:30:54,2025-03-31 14:28:20,881.0,357.0,2356.0,2866.0,,2025-03-26 16:02:35,54.3.1,,,11.0,Official Rust implementation of Apache Arrow.,7824.0,7824.0,667.0,24,True,2.0,,3.0,,
9,rust-csv,BurntSushi/rust-csv,data-loading,https://github.com/BurntSushi/rust-csv,https://github.com/BurntSushi/rust-csv,Unlicense,2014-03-22 06:58:51,2025-03-18 18:09:43,2025-03-18 18:09:43,223.0,58.0,180.0,1792.0,465.0,,,,,,"A CSV parser for Rust, with Serde support.",89749.0,89749.0,56.0,24,True,2.0,,,,
