,name,github_id,category,github_url,homepage,license,created_at,updated_at,last_commit_pushed_at,fork_count,open_issue_count,closed_issue_count,star_count,commit_count,latest_stable_release_published_at,latest_stable_release_number,github_release_downloads,monthly_downloads,release_count,description,dependent_project_count,github_dependent_project_count,contributor_count,projectrank,show,projectrank_placing,updated_github_id,new_addition,trending,labels
0,qdrant,qdrant/qdrant,apps,https://github.com/qdrant/qdrant,https://github.com/qdrant/qdrant,Apache-2.0,2020-05-30 21:37:01,2025-12-31 17:04:16,2025-12-24 09:59:03,1949.0,371.0,1296.0,27946.0,5149.0,2025-12-19 17:45:42,1.16.3,529337.0,10379.0,100.0,"Qdrant - High-performance, massive-scale Vector Database and Vector Search Engine for the next generation of AI. Also..",117.0,117.0,148.0,29,True,1.0,,,,
1,vector,timberio/vector,data-loading,https://github.com/vectordotdev/vector,https://github.com/vectordotdev/vector,MPL-2.0,2018-08-27 16:57:34,2026-01-01 05:06:38,2025-12-30 18:10:17,1916.0,2031.0,6233.0,21004.0,13240.0,2025-12-16 15:56:44,0.52.0,3623384.0,46453.0,99.0,A high-performance observability data pipeline.,,,598.0,28,True,1.0,vectordotdev/vector,,,
2,petgraph,petgraph/petgraph,graph,https://github.com/petgraph/petgraph,https://github.com/petgraph/petgraph,Apache-2.0,2014-12-22 08:15:12,2025-12-30 15:22:15,2025-12-10 12:12:50,422.0,163.0,224.0,3702.0,1418.0,2025-09-30 13:16:11,petgraph@v0.8.3,,,4.0,Graph data structure library for Rust.,147046.0,147046.0,141.0,27,True,1.0,,,,
3,polars,ritchie46/polars,data-loading,https://github.com/pola-rs/polars,https://github.com/pola-rs/polars,,2020-05-13 19:45:33,2026-01-01 06:18:31,2025-12-31 15:39:00,2523.0,2474.0,9602.0,36781.0,,2025-12-10 01:15:16,py-1.36.1,15452.0,735.0,100.0,"Extremely fast Query Engine for DataFrames, written in Rust.",29114.0,29114.0,652.0,26,False,1.0,pola-rs/polars,,,
4,tiktoken,openai/tiktoken,nlp,https://github.com/openai/tiktoken,https://github.com/openai/tiktoken,MIT,2022-12-01 23:22:11,2025-10-06 20:21:57,2025-10-06 20:12:10,1256.0,47.0,249.0,16901.0,,2025-10-06 20:21:57,0.12.0,,,13.0,tiktoken is a fast BPE tokeniser for use with OpenAI's models.,175216.0,175216.0,21.0,26,True,1.0,,,,
5,tokenizers,huggingface/tokenizers,nlp,https://github.com/huggingface/tokenizers,https://github.com/huggingface/tokenizers,Apache-2.0,2019-11-01 17:52:20,2025-12-16 10:52:44,2025-12-16 10:52:44,992.0,105.0,1017.0,10348.0,,2025-12-02 13:01:19,0.22.2,92.0,1.0,100.0,Fast State-of-the-Art Tokenizers optimized for Research and Production.,186448.0,186448.0,132.0,25,True,1.0,,,,
6,rerun,rerun-io/rerun,image,https://github.com/rerun-io/rerun,https://github.com/rerun-io/rerun,Apache-2.0,2022-04-08 07:30:05,2026-01-01 05:11:50,2025-12-26 15:11:45,591.0,1309.0,2979.0,9861.0,,2025-12-19 23:04:51,0.28.1,215374.0,6153.0,62.0,"An open source SDK for logging, storing, querying, and visualizing multimodal and multi-rate data.",247.0,247.0,136.0,25,True,1.0,,,,
7,goose,block/goose,apps,https://github.com/block/goose,https://github.com/block/goose,Apache-2.0,2024-08-23 19:03:36,2025-12-31 23:53:16,2025-12-31 23:53:14,2220.0,181.0,1299.0,25290.0,,2025-12-19 22:22:03,1.18.0,400495.0,25030.0,98.0,"an open source, extensible AI agent that goes beyond code suggestions - install, execute, edit, and test with any LLM.",,,327.0,24,True,1.0,,True,,
8,arrow,apache/arrow,data-loading,https://github.com/apache/arrow,https://github.com/apache/arrow,Apache-2.0,2016-02-17 08:00:23,2026-01-01 07:50:34,2026-01-01 07:50:34,3823.0,3891.0,23509.0,16321.0,,2025-10-24 08:20:06,apache-arrow-22.0.0,29897.0,1660.0,28.0,Apache Arrow is the universal columnar format and multi-language toolbox for fast data interchange and in-memory..,8.0,8.0,1465.0,24,True,1.0,,,,
9,tantivy,tantivy-search/tantivy,apps,https://github.com/quickwit-oss/tantivy,https://github.com/quickwit-oss/tantivy,MIT,2016-01-11 08:32:16,2025-12-31 17:20:33,2025-12-31 17:02:00,794.0,318.0,768.0,14241.0,,2025-08-20 11:01:45,0.25.0,,,48.0,Tantivy is a full-text search engine library inspired by Apache Lucene and written in Rust.,2551.0,2551.0,177.0,24,True,1.0,quickwit-oss/tantivy,,,
10,burn,burn-rs/burn,ml-frameworks,https://github.com/tracel-ai/burn,https://github.com/tracel-ai/burn,Apache-2.0,2022-07-18 23:11:45,2025-12-31 16:28:40,2025-12-30 19:50:11,761.0,270.0,846.0,13798.0,,2025-11-06 16:18:44,0.19.1,,,30.0,"Burn is a next generation tensor library and Deep Learning Framework that doesn't compromise on flexibility,..",1043.0,1043.0,230.0,24,True,1.0,tracel-ai/burn,,,
11,redb,cberner/redb,data-loading,https://github.com/cberner/redb,https://github.com/cberner/redb,Apache-2.0,2018-09-23 18:30:14,2025-10-28 00:01:21,2025-10-28 00:01:21,190.0,10.0,360.0,4130.0,1400.0,2025-09-25 21:46:53,3.1.0,,,59.0,An embedded key-value database in pure Rust.,1632.0,1632.0,35.0,24,True,1.0,,,,
