,name,github_id,category,github_url,homepage,license,created_at,updated_at,last_commit_pushed_at,fork_count,open_issue_count,closed_issue_count,star_count,commit_count,latest_stable_release_published_at,latest_stable_release_number,github_release_downloads,monthly_downloads,release_count,description,dependent_project_count,github_dependent_project_count,contributor_count,projectrank,show,projectrank_placing,updated_github_id,trending,new_addition,labels
0,qdrant,qdrant/qdrant,apps,https://github.com/qdrant/qdrant,https://github.com/qdrant/qdrant,Apache-2.0,2020-05-30 21:37:01,2026-07-01 12:05:36,2026-06-03 15:09:21,2422.0,452.0,1432.0,32853.0,6145.0,2026-06-04 06:50:36,1.18.2,782984.0,15979.0,100.0,"Qdrant - High-performance, massive-scale Vector Database and Vector Search Engine for the next generation of AI. Also..",117.0,117.0,173.0,30,True,1.0,,,,
1,polars,ritchie46/polars,data-loading,https://github.com/pola-rs/polars,https://github.com/pola-rs/polars,MIT,2020-05-13 19:45:33,2026-07-01 11:52:13,2026-07-01 10:58:34,2909.0,2485.0,10385.0,38894.0,,2026-06-30 04:58:11,py-1.42.1,28019.0,1120.0,100.0,"Extremely fast Query Engine for DataFrames, written in Rust.",34536.0,34536.0,728.0,29,True,1.0,pola-rs/polars,4.0,,
2,vector,timberio/vector,data-loading,https://github.com/vectordotdev/vector,https://github.com/vectordotdev/vector,MPL-2.0,2018-08-27 16:57:34,2026-07-01 05:10:47,2026-06-30 15:55:29,2141.0,2067.0,6369.0,22113.0,13849.0,2026-06-17 19:01:56,de-0.3.4,4936164.0,63284.0,100.0,A high-performance observability data pipeline.,,,634.0,28,True,1.0,vectordotdev/vector,,,
3,tiktoken,openai/tiktoken,nlp,https://github.com/openai/tiktoken,https://github.com/openai/tiktoken,MIT,2022-12-01 23:22:11,2026-05-24 08:43:54,2026-05-24 08:43:53,1415.0,58.0,274.0,18639.0,,2026-05-15 04:44:47,0.13.0,,,14.0,tiktoken is a fast BPE tokeniser for use with OpenAI's models.,190948.0,190948.0,24.0,27,True,1.0,,,,
4,tokenizers,huggingface/tokenizers,nlp,https://github.com/huggingface/tokenizers,https://github.com/huggingface/tokenizers,Apache-2.0,2019-11-01 17:52:20,2026-07-01 10:45:55,2026-06-22 09:41:49,1103.0,114.0,1034.0,10851.0,,2026-04-27 14:38:35,0.23.1,104.0,1.0,100.0,Fast State-of-the-Art Tokenizers optimized for Research and Production.,201534.0,201534.0,149.0,27,True,1.0,,,,
5,rerun,rerun-io/rerun,image,https://github.com/rerun-io/rerun,https://github.com/rerun-io/rerun,Apache-2.0,2022-04-08 07:30:05,2026-07-01 11:47:04,2026-07-01 11:37:35,768.0,1264.0,3146.0,11035.0,,2026-06-22 11:58:12,0.33.1,272284.0,6641.0,78.0,"Visualize, query, and stream to train on multimodal robotics data.",305.0,305.0,168.0,26,True,1.0,,,,
6,goose,block/goose,apps,https://github.com/aaif-goose/goose,https://github.com/aaif-goose/goose,Apache-2.0,2024-08-23 19:03:36,2026-07-01 12:12:30,2026-07-01 03:13:10,5343.0,183.0,2240.0,50516.0,,2026-06-25 22:50:40,1.39.0,1107154.0,73810.0,100.0,"an open source, extensible AI agent that goes beyond code suggestions - install, execute, edit, and test with any LLM.",2.0,2.0,533.0,25,True,1.0,aaif-goose/goose,,True,
7,redb,cberner/redb,data-loading,https://github.com/cberner/redb,https://github.com/cberner/redb,Apache-2.0,2018-09-23 18:30:14,2026-06-30 11:23:18,2026-06-22 12:24:18,216.0,6.0,371.0,4620.0,1580.0,2026-04-19 21:15:38,4.1.0,,,64.0,An embedded key-value database in pure Rust.,2406.0,2406.0,40.0,25,True,1.0,,,,
8,petgraph,petgraph/petgraph,graph,https://github.com/petgraph/petgraph,https://github.com/petgraph/petgraph,Apache-2.0,2014-12-22 08:15:12,2026-04-04 15:46:11,2026-03-08 19:00:22,440.0,185.0,223.0,3946.0,1422.0,2025-09-30 13:16:11,petgraph@v0.8.3,,,4.0,Graph data structure library for Rust.,154886.0,154886.0,142.0,25,True,1.0,,,,
9,arrow-rs,apache/arrow-rs,data-loading,https://github.com/apache/arrow-rs,https://github.com/apache/arrow-rs,Apache-2.0,2021-04-17 15:40:05,2026-06-30 18:36:57,2026-06-30 18:33:49,1171.0,550.0,3189.0,3511.0,,2026-06-09 17:37:09,59.0.0,,,29.0,Official Rust implementation of Apache Arrow.,11010.0,11010.0,832.0,25,True,1.0,,4.0,,
