,name,github_id,category,homepage,dependent_project_count,github_dependent_project_count,contributor_count,projectrank,show,projectrank_placing,labels,trending,new_addition
0,tokenizers,huggingface/tokenizers,nlp,{},204673.0,204673.0,150.0,10,False,1.0,,,
1,aho-corasick,BurntSushi/aho-corasick,nlp,{},637365.0,637365.0,35.0,10,False,1.0,,,
2,rayon,rayon-rs/rayon,data-loading,{},313048.0,313048.0,160.0,10,False,1.0,,,
3,memchr,BurntSushi/memchr,nlp,{},827835.0,827835.0,54.0,10,False,1.0,,,
4,polars,ritchie46/polars,data-loading,{},35423.0,35423.0,746.0,9,False,1.0,,,
5,petgraph,petgraph/petgraph,graph,{},156693.0,156693.0,142.0,9,False,1.0,,,
6,nalgebra,dimforge/nalgebra,ml-frameworks,{},51478.0,51478.0,238.0,9,False,1.0,,,
7,rust-csv,BurntSushi/rust-csv,data-loading,{},103020.0,103020.0,58.0,9,False,1.0,,,
8,arrow-datafusion,apache/arrow-datafusion,data-loading,{},4554.0,4554.0,1206.0,9,False,1.0,,,
9,tiktoken,openai/tiktoken,nlp,{},193959.0,193959.0,24.0,9,False,1.0,,,
10,fancy-regex,fancy-regex/fancy-regex,nlp,{},22824.0,22824.0,34.0,8,False,1.0,,,
11,statrs,boxtown/statrs,ml-frameworks,{},19734.0,19734.0,68.0,8,False,1.0,,,
12,arrow-rs,apache/arrow-rs,data-loading,{},11441.0,11441.0,848.0,8,False,2.0,,,
13,lance,eto-ai/lance,data-loading,{},6726.0,6726.0,255.0,8,False,2.0,,,
14,candle,huggingface/candle,ml-frameworks,{},4016.0,4016.0,274.0,8,False,1.0,,,
15,azure-sdk-for-rust,Azure/azure-sdk-for-rust,ml-frameworks,{},1281.0,1281.0,210.0,7,False,1.0,['binding'],,
16,imageproc,image-rs/imageproc,image,{},8060.0,8060.0,94.0,7,False,1.0,,,
17,cgmath,rustgd/cgmath,image,{},16614.0,16614.0,99.0,7,False,1.0,,,
18,fst,BurntSushi/fst,data-loading,{},14061.0,14061.0,25.0,7,False,2.0,,,
19,tantivy,tantivy-search/tantivy,apps,{},3520.0,3520.0,196.0,7,False,1.0,,,
20,delta-rs,delta-io/delta-rs,data-loading,{},2262.0,2262.0,296.0,7,False,2.0,,,
